index,type,kendalltau,p-value
180001,DBPedia - TFCG,0.012290251928759474,*
180001,DBPedia - FFCG,0.07938507893890434,*
180001,TFCG - FFCG,0.09004639898319328,*
180002,DBPedia - TFCG,0.01229527658389002,*
180002,DBPedia - FFCG,0.07938061645034036,*
180002,TFCG - FFCG,0.09004107594554878,*
180003,DBPedia - TFCG,0.012294326408584239,*
180003,DBPedia - FFCG,0.07938435605045878,*
180003,TFCG - FFCG,0.09003985278426895,*
180004,DBPedia - TFCG,0.01228912266119038,*
180004,DBPedia - FFCG,0.07937989365391712,*
180004,TFCG - FFCG,0.090044352443194,*
180005,DBPedia - TFCG,0.012283919017436423,*
180005,DBPedia - FFCG,0.07937543133994021,*
180005,TFCG - FFCG,0.09004885201026167,*
180006,DBPedia - TFCG,0.012285195774506437,*
180006,DBPedia - FFCG,0.07937096910852573,*
180006,TFCG - FFCG,0.09004728302792425,*
180007,DBPedia - TFCG,0.012283330318094246,*
180007,DBPedia - FFCG,0.07936650695967143,*
180007,TFCG - FFCG,0.09004869085494882,*
180008,DBPedia - TFCG,0.012275749691018575,*
180008,DBPedia - FFCG,0.07936204489337496,*
180008,TFCG - FFCG,0.09005490580081471,*
180009,DBPedia - TFCG,0.012270546401340308,*
180009,DBPedia - FFCG,0.07935758290963407,*
180009,TFCG - FFCG,0.09005940505394423,*
180010,DBPedia - TFCG,0.012275570814055302,*
180010,DBPedia - FFCG,0.07936230541887745,*
180010,TFCG - FFCG,0.09006548311807004,*
180011,DBPedia - TFCG,0.012270367623680568,*
180011,DBPedia - FFCG,0.07936429102930558,*
180011,TFCG - FFCG,0.09006228970048341,*
180012,DBPedia - TFCG,0.012275391942943303,*
180012,DBPedia - FFCG,0.07936697185812706,*
180012,TFCG - FFCG,0.09006505504967353,*
180013,DBPedia - TFCG,0.012273526700951574,*
180013,DBPedia - FFCG,0.07936251000241479,*
180013,TFCG - FFCG,0.09006646263412928,*
180014,DBPedia - TFCG,0.012271661499184126,*
180014,DBPedia - FFCG,0.07936756739146421,*
180014,TFCG - FFCG,0.0900636301040437,*
180015,DBPedia - TFCG,0.01227314166690951,*
180015,DBPedia - FFCG,0.07936310561547118,*
180015,TFCG - FFCG,0.09006190305624122,*
180016,DBPedia - TFCG,0.012278165752251172,*
180016,DBPedia - FFCG,0.07936094458487518,*
180016,TFCG - FFCG,0.09005912593817696,*
180017,DBPedia - TFCG,0.01228318974847252,*
180017,DBPedia - FFCG,0.07936600183496727,*
180017,TFCG - FFCG,0.0900654641719459,*
180018,DBPedia - TFCG,0.01228068813907391,*
180018,DBPedia - FFCG,0.07936154020077504,*
180018,TFCG - FFCG,0.09006731413659866,*
180019,DBPedia - TFCG,0.012275485310376628,*
180019,DBPedia - FFCG,0.07936067743144898,*
180019,TFCG - FFCG,0.09006783884640725,*
180020,DBPedia - TFCG,0.012270282585289252,*
180020,DBPedia - FFCG,0.07935621592959961,*
180020,TFCG - FFCG,0.09007233773377478,*
180021,DBPedia - TFCG,0.01226507996380868,*
180021,DBPedia - FFCG,0.07935175451028766,*
180021,TFCG - FFCG,0.09007683652931095,*
180022,DBPedia - TFCG,0.0122598774459318,*
180022,DBPedia - FFCG,0.07935089185783299,*
180022,TFCG - FFCG,0.09007736111257085,*
180023,DBPedia - TFCG,0.012264901303232921,*
180023,DBPedia - FFCG,0.07935287732483923,*
180023,TFCG - FFCG,0.09007932513141871,*
180024,DBPedia - TFCG,0.012257652498122752,*
180024,DBPedia - FFCG,0.0793484160633919,*
180024,TFCG - FFCG,0.09008546344800493,*
180025,DBPedia - TFCG,0.012252450208479603,*
180025,DBPedia - FFCG,0.07935273490475407,*
180025,TFCG - FFCG,0.09007897632406922,*
180026,DBPedia - TFCG,0.012247248022430126,*
180026,DBPedia - FFCG,0.079348273730176,*
180026,TFCG - FFCG,0.09008347486235449,*
180027,DBPedia - TFCG,0.012244747023916158,*
180027,DBPedia - FFCG,0.07934381263812536,*
180027,TFCG - FFCG,0.09008532427179729,*
180028,DBPedia - TFCG,0.012239545022105098,*
180028,DBPedia - FFCG,0.07933935162859983,*
180028,TFCG - FFCG,0.09008982264648065,*
180029,DBPedia - TFCG,0.012239807432707722,*
180029,DBPedia - FFCG,0.07933966861611876,*
180029,TFCG - FFCG,0.09008958920209909,*
180030,DBPedia - TFCG,0.012236100253474201,*
180030,DBPedia - FFCG,0.07933520772858989,*
180030,TFCG - FFCG,0.09009258211573569,*
180031,DBPedia - TFCG,0.0122308985015971,*
180031,DBPedia - FFCG,0.07933074692358029,*
180031,TFCG - FFCG,0.0900970803270919,*
180032,DBPedia - TFCG,0.012225696853297524,*
