index,type,kendalltau,p-value
360001,DBPedia - TFCG,0.03544710211996755,*
360001,DBPedia - FFCG,0.051847471375856505,*
360001,TFCG - FFCG,0.09697073061434906,*
360002,DBPedia - TFCG,0.03545138305654698,*
360002,DBPedia - FFCG,0.05184333337017991,*
360002,TFCG - FFCG,0.09696803350290557,*
360003,DBPedia - TFCG,0.03544640158583985,*
360003,DBPedia - FFCG,0.051841074953786107,*
360003,TFCG - FFCG,0.09696909191243772,*
360004,DBPedia - TFCG,0.035447326187315345,*
360004,DBPedia - FFCG,0.051836937037718855,*
360004,TFCG - FFCG,0.09696827884100474,*
360005,DBPedia - TFCG,0.035442344808714,*
360005,DBPedia - FFCG,0.0518368003550398,*
360005,TFCG - FFCG,0.09696796089705935,*
360006,DBPedia - TFCG,0.035446625662766955,*
360006,DBPedia - FFCG,0.05183032054716056,*
360006,TFCG - FFCG,0.09696366182375114,*
360007,DBPedia - TFCG,0.03544741425473704,*
360007,DBPedia - FFCG,0.05183204457632975,*
360007,TFCG - FFCG,0.09696373640767098,*
360008,DBPedia - TFCG,0.03544243297014128,*
360008,DBPedia - FFCG,0.051837360652960345,*
360008,TFCG - FFCG,0.09695955808630581,*
360009,DBPedia - TFCG,0.03544671374141595,*
360009,DBPedia - FFCG,0.05183885912393973,*
360009,TFCG - FFCG,0.09696039312036553,*
360010,DBPedia - TFCG,0.03544565010714972,*
360010,DBPedia - FFCG,0.05183472137982694,*
360010,TFCG - FFCG,0.09696069039927588,*
360011,DBPedia - TFCG,0.03544993080527621,*
360011,DBPedia - FFCG,0.05183458471469828,*
360011,TFCG - FFCG,0.09696056341469685,*
360012,DBPedia - TFCG,0.03544296626662633,*
360012,DBPedia - FFCG,0.05183232648132018,*
360012,TFCG - FFCG,0.09696186806491035,*
360013,DBPedia - TFCG,0.03544724692562499,*
360013,DBPedia - FFCG,0.05183006827690147,*
360013,TFCG - FFCG,0.09696037719216706,*
360014,DBPedia - TFCG,0.0354515275351341,*
360014,DBPedia - FFCG,0.05183221301625127,*
360014,TFCG - FFCG,0.0969615949975323,*
360015,DBPedia - TFCG,0.03545580809515456,*
360015,DBPedia - FFCG,0.05182550702164983,*
360015,TFCG - FFCG,0.0969571355259297,*
360016,DBPedia - TFCG,0.03545082699971783,*
360016,DBPedia - FFCG,0.0518298341639035,*
360016,TFCG - FFCG,0.09695371381341332,*
360017,DBPedia - TFCG,0.035455107511369356,*
360017,DBPedia - FFCG,0.051823922058720114,*
360017,TFCG - FFCG,0.09694981916988836,*
360018,DBPedia - TFCG,0.03544889363882895,*
360018,DBPedia - FFCG,0.05182509370393703,*
360018,TFCG - FFCG,0.09694816559072718,*
360019,DBPedia - TFCG,0.03545317410719889,*
360019,DBPedia - FFCG,0.05182283563255511,*
360019,TFCG - FFCG,0.09694667479262106,*
360020,DBPedia - TFCG,0.035452497262463564,*
360020,DBPedia - FFCG,0.05182662268602011,*
360020,TFCG - FFCG,0.09694625946621736,*
360021,DBPedia - TFCG,0.035456777655711175,*
360021,DBPedia - FFCG,0.05182648607813383,*
360021,TFCG - FFCG,0.09694613251396322,*
360022,DBPedia - TFCG,0.035451796739387004,*
360022,DBPedia - FFCG,0.05182634947203694,*
360022,TFCG - FFCG,0.09694581466349335,*
360023,DBPedia - TFCG,0.0354468158869443,*
360023,DBPedia - FFCG,0.0518262128677294,*
360023,TFCG - FFCG,0.09694549681655208,*
360024,DBPedia - TFCG,0.035451096232944915,*
360024,DBPedia - FFCG,0.05182986048373706,*
360024,TFCG - FFCG,0.09694768427803811,*
360025,DBPedia - TFCG,0.035452338306776764,*
360025,DBPedia - FFCG,0.05183567441492621,*
360025,TFCG - FFCG,0.09694846227465087,*
360026,DBPedia - TFCG,0.03545166149199082,*
360026,DBPedia - FFCG,0.05182976261355813,*
360026,TFCG - FFCG,0.09694845847713554,*
360027,DBPedia - TFCG,0.035450984686462,*
360027,DBPedia - FFCG,0.05183148641515774,*
360027,TFCG - FFCG,0.09694826066507353,*
360028,DBPedia - TFCG,0.035455264894867104,*
360028,DBPedia - FFCG,0.05182734919092166,*
360028,TFCG - FFCG,0.09694556381585001,*
360029,DBPedia - TFCG,0.03545954505379208,*
360029,DBPedia - FFCG,0.051827212583531485,*
360029,TFCG - FFCG,0.09694543684661536,*
360030,DBPedia - TFCG,0.03546382516323782,*
360030,DBPedia - FFCG,0.0518270759779306,*
360030,TFCG - FFCG,0.09694530987866988,*
360031,DBPedia - TFCG,0.035468105223205225,*
360031,DBPedia - FFCG,0.051832889702163584,*
360031,TFCG - FFCG,0.09694873142511529,*
360032,DBPedia - TFCG,0.03547238523369516,*
360032,DBPedia - FFCG,0.05183169802659274,*
360032,TFCG - FFCG,0.09694795972778471,*
360033,DBPedia - TFCG,0.03546582122611491,*
360033,DBPedia - FFCG,0.05183156139412232,*
