index,type,kendalltau,p-value
280001,DBPedia - TFCG,0.023475997649397253,*
280001,DBPedia - FFCG,0.03378946310112672,*
280001,TFCG - FFCG,0.09023484586961449,*
280002,DBPedia - TFCG,0.023470822153780033,*
280002,DBPedia - FFCG,0.033791235113826514,*
280002,TFCG - FFCG,0.09023292655119564,*
280003,DBPedia - TFCG,0.023469885792537167,*
280003,DBPedia - FFCG,0.033785029649460806,*
280003,TFCG - FFCG,0.09023329191057415,*
280004,DBPedia - TFCG,0.023464710426833648,*
280004,DBPedia - FFCG,0.033790938950506944,*
280004,TFCG - FFCG,0.09022798946214512,*
280005,DBPedia - TFCG,0.023469482125018672,*
280005,DBPedia - FFCG,0.03378473358621253,*
280005,TFCG - FFCG,0.0902230288282731,*
280006,DBPedia - TFCG,0.023464306838008365,*
280006,DBPedia - FFCG,0.03378046702522642,*
280006,TFCG - FFCG,0.0902259625442907,*
280007,DBPedia - TFCG,0.023459131630916025,*
280007,DBPedia - FFCG,0.033774261835696893,*
280007,TFCG - FFCG,0.09023026937917307,*
280008,DBPedia - TFCG,0.023463903260403988,*
280008,DBPedia - FFCG,0.03376805674324335,*
280008,TFCG - FFCG,0.09022530879825233,*
280009,DBPedia - TFCG,0.023468674823650705,*
280009,DBPedia - FFCG,0.03376982882762533,*
280009,TFCG - FFCG,0.09022648444210918,*
280010,DBPedia - TFCG,0.023473446320657575,*
280010,DBPedia - FFCG,0.033762988189678454,*
280010,TFCG - FFCG,0.09022098993946981,*
280011,DBPedia - TFCG,0.023478217751425997,*
280011,DBPedia - FFCG,0.033758721949212145,*
280011,TFCG - FFCG,0.09021761315569342,*
280012,DBPedia - TFCG,0.023473042619342473,*
280012,DBPedia - FFCG,0.03375776331159303,*
280012,TFCG - FFCG,0.09021809351291536,*
280013,DBPedia - TFCG,0.02346786756717165,*
280013,DBPedia - FFCG,0.033759937715889726,*
280013,TFCG - FFCG,0.09021582776562775,*
280014,DBPedia - TFCG,0.023462692594911686,*
280014,DBPedia - FFCG,0.033762112085421424,*
280014,TFCG - FFCG,0.09021356205183456,*
280015,DBPedia - TFCG,0.02345751770256071,*
280015,DBPedia - FFCG,0.03376232035450425,*
280015,TFCG - FFCG,0.09021309058911764,*
280016,DBPedia - TFCG,0.023454532055035306,*
280016,DBPedia - FFCG,0.033765355070547357,*
280016,TFCG - FFCG,0.09021140689743451,*
280017,DBPedia - TFCG,0.02345930339589122,*
280017,DBPedia - FFCG,0.03376439641775137,*
280017,TFCG - FFCG,0.09021054448293284,*
280018,DBPedia - TFCG,0.02345836723073608,*
280018,DBPedia - FFCG,0.03376588202797919,*
280018,TFCG - FFCG,0.09021025337888261,*
280019,DBPedia - TFCG,0.02345319253220552,*
280019,DBPedia - FFCG,0.033764923385653636,*
280019,TFCG - FFCG,0.0902107338114026,*
280020,DBPedia - TFCG,0.02344665307813732,*
280020,DBPedia - FFCG,0.033765927363152475,*
280020,TFCG - FFCG,0.09020908909681599,*
280021,DBPedia - TFCG,0.023441478552713,*
280021,DBPedia - FFCG,0.03376496873497834,*
280021,TFCG - FFCG,0.09020956949884376,*
280022,DBPedia - TFCG,0.023436304107186973,*
280022,DBPedia - FFCG,0.03376517696786326,*
280022,TFCG - FFCG,0.09020909807582413,*
280023,DBPedia - TFCG,0.02343657277206921,*
280023,DBPedia - FFCG,0.033764218359834904,*
280023,TFCG - FFCG,0.09020898774435766,*
280024,DBPedia - TFCG,0.02343783840153205,*
280024,DBPedia - FFCG,0.03376325976660473,*
280024,TFCG - FFCG,0.0902087368967617,*
280025,DBPedia - TFCG,0.02343419971523799,*
280025,DBPedia - FFCG,0.03376230118817239,*
280025,TFCG - FFCG,0.09020913775086838,*
280026,DBPedia - TFCG,0.02343121449432532,*
280026,DBPedia - FFCG,0.03376134262453755,*
280026,TFCG - FFCG,0.09020947440976065,*
280027,DBPedia - TFCG,0.02342757592177182,*
280027,DBPedia - FFCG,0.033760384075699854,*
280027,TFCG - FFCG,0.09020987525085702,*
280028,DBPedia - TFCG,0.02342064255710862,*
280028,DBPedia - FFCG,0.033762558198779415,*
280028,TFCG - FFCG,0.0902066657500048,*
280029,DBPedia - TFCG,0.023420911337391305,*
280029,DBPedia - FFCG,0.033764732287101744,*
280029,TFCG - FFCG,0.09020643194812096,*
280030,DBPedia - TFCG,0.02341437268278487,*
280030,DBPedia - FFCG,0.033766906340667695,*
280030,TFCG - FFCG,0.09020347154925573,*
280031,DBPedia - TFCG,0.02340743959881023,*
280031,DBPedia - FFCG,0.03376908035947808,*
280031,TFCG - FFCG,0.09020026217307532,*
280032,DBPedia - TFCG,0.02340870538574401,*
280032,DBPedia - FFCG,0.03377125434353375,*
280032,TFCG - FFCG,0.09020031941920008,*
280033,DBPedia - TFCG,0.02340897425547868,*
280033,DBPedia - FFCG,0.03377342829283555,*
280033,TFCG - FFCG,0.09020008567151254,*
280034,DBPedia - TFCG,0.023403800568517527,*
280034,DBPedia - FFCG,0.033775602207384285,*
280034,TFCG - FFCG,0.09019782023678548,*
280035,DBPedia - TFCG,0.023398626961434906,*
280035,DBPedia - FFCG,0.03377777608718081,*
280035,TFCG - FFCG,0.09019555483554476,*
280036,DBPedia - TFCG,0.023394988920849732,*
280036,DBPedia - FFCG,0.033776817476634406,*
280036,TFCG - FFCG,0.09019595567548924,*
280037,DBPedia - TFCG,0.023389815463834628,*
280037,DBPedia - FFCG,0.033778991312117986,*
280037,TFCG - FFCG,0.09019369029040374,*
280038,DBPedia - TFCG,0.023388880022671005,*
280038,DBPedia - FFCG,0.03378116511285138,*
280038,TFCG - FFCG,0.09019321930074946,*
280039,DBPedia - TFCG,0.023393650964873773,*
280039,DBPedia - FFCG,0.03378333887883541,*
280039,TFCG - FFCG,0.09019468095886612,*
280040,DBPedia - TFCG,0.023390666409029877,*
280040,DBPedia - FFCG,0.03378637284284614,*
280040,TFCG - FFCG,0.09019299777564405,*
280041,DBPedia - TFCG,0.02338373407026985,*
280041,DBPedia - FFCG,0.033788546531962615,*
280041,TFCG - FFCG,0.0901897887121116,*
280042,DBPedia - TFCG,0.023378560902761567,*
280042,DBPedia - FFCG,0.03379072018633229,*
280042,TFCG - FFCG,0.09018752348048238,*
280043,DBPedia - TFCG,0.0233733878151195,*
280043,DBPedia - FFCG,0.03379289380595601,*
280043,TFCG - FFCG,0.09018525828233492,*
280044,DBPedia - TFCG,0.023374309314570494,*
280044,DBPedia - FFCG,0.033795067390834606,*
280044,TFCG - FFCG,0.09018517730709245,*
280045,DBPedia - TFCG,0.023375929525617546,*
280045,DBPedia - FFCG,0.03379724094096891,*
280045,TFCG - FFCG,0.09018542821643288,*
280046,DBPedia - TFCG,0.023375485142564868,*
280046,DBPedia - FFCG,0.033799414456359755,*
280046,TFCG - FFCG,0.09018508768102017,*
280047,DBPedia - TFCG,0.023371847608452342,*
280047,DBPedia - FFCG,0.03380158793700798,*
280047,TFCG - FFCG,0.09018353079056184,*
280048,DBPedia - TFCG,0.02336491581626363,*
280048,DBPedia - FFCG,0.0338037613829144,*
280048,TFCG - FFCG,0.09018032196856343,*
280049,DBPedia - TFCG,0.023359743086003176,*
280049,DBPedia - FFCG,0.033805934794079874,*
280049,TFCG - FFCG,0.09017805692344504,*
280050,DBPedia - TFCG,0.023352172791787768,*
280050,DBPedia - FFCG,0.033808108170505224,*
280050,TFCG - FFCG,0.09017441884738325,*
280051,DBPedia - TFCG,0.023345241329747485,*
280051,DBPedia - FFCG,0.03381028151219128,*
280051,TFCG - FFCG,0.09017121016968246,*
280052,DBPedia - TFCG,0.023338704457829373,*
280052,DBPedia - FFCG,0.03381245481913888,*
280052,TFCG - FFCG,0.09016825052435681,*
280053,DBPedia - TFCG,0.02333353209780211,*
280053,DBPedia - FFCG,0.03381462809134885,*
