index,type,kendalltau,p-value
440001,DBPedia - TFCG,0.00683738962062509,*
440001,DBPedia - FFCG,0.07114440077125742,*
440001,TFCG - FFCG,0.08633309254970606,*
440002,DBPedia - TFCG,0.006833597781486816,*
440002,DBPedia - FFCG,0.07114318009292972,*
440002,TFCG - FFCG,0.08633354625643916,*
440003,DBPedia - TFCG,0.006831453749368538,*
440003,DBPedia - FFCG,0.07114705253815393,*
440003,TFCG - FFCG,0.08633169948673633,*
440004,DBPedia - TFCG,0.006835018678244042,*
440004,DBPedia - FFCG,0.07114352953881721,*
440004,TFCG - FFCG,0.08632939303045722,*
440005,DBPedia - TFCG,0.006831226907140024,*
440005,DBPedia - FFCG,0.07114758440869728,*
440005,TFCG - FFCG,0.0863260816274971,*
440006,DBPedia - TFCG,0.0068302969972431765,*
440006,DBPedia - FFCG,0.07115163923664425,*
440006,TFCG - FFCG,0.08632511954509041,*
440007,DBPedia - TFCG,0.006826505289061501,*
440007,DBPedia - FFCG,0.07114617181468685,*
440007,TFCG - FFCG,0.08632824118535061,*
440008,DBPedia - TFCG,0.006822713618793131,*
440008,DBPedia - FFCG,0.07115022660751126,*
440008,TFCG - FFCG,0.0863249298344712,*
440009,DBPedia - TFCG,0.006820569709019052,*
440009,DBPedia - FFCG,0.07115471451825348,*
440009,TFCG - FFCG,0.08632271631859531,*
440010,DBPedia - TFCG,0.006815520204412818,*
440010,DBPedia - FFCG,0.07115568550284365,*
440010,TFCG - FFCG,0.08632116609350332,*
440011,DBPedia - TFCG,0.006811728648339169,*
440011,DBPedia - FFCG,0.07115446482116841,*
440011,TFCG - FFCG,0.08632161983970198,*
440012,DBPedia - TFCG,0.0068152935216958185,*
440012,DBPedia - FFCG,0.07115543579683584,*
440012,TFCG - FFCG,0.08632226539830232,*
440013,DBPedia - TFCG,0.006811502002848624,*
440013,DBPedia - FFCG,0.07115421512840166,*
440013,TFCG - FFCG,0.08632271914632052,*
440014,DBPedia - TFCG,0.006807710521911822,*
440014,DBPedia - FFCG,0.07114895453216398,*
440014,TFCG - FFCG,0.08632574959837762,*
440015,DBPedia - TFCG,0.006803919078884839,*
440015,DBPedia - FFCG,0.07114773390801367,*
440015,TFCG - FFCG,0.08632620332617767,*
440016,DBPedia - TFCG,0.006800127673767107,*
440016,DBPedia - FFCG,0.07115056156899545,*
440016,TFCG - FFCG,0.08632383814286397,*
440017,DBPedia - TFCG,0.006796336306558052,*
440017,DBPedia - FFCG,0.07115153253851651,*
440017,TFCG - FFCG,0.08632275883511732,*
440018,DBPedia - TFCG,0.006792544977257106,*
440018,DBPedia - FFCG,0.07114800976394837,*
440018,TFCG - FFCG,0.08632474145324026,*
440019,DBPedia - TFCG,0.006788753685863693,*
440019,DBPedia - FFCG,0.07115008863635511,*
440019,TFCG - FFCG,0.08632291356758809,*
440020,DBPedia - TFCG,0.006783979626170741,*
440020,DBPedia - FFCG,0.07115414315806037,*
440020,TFCG - FFCG,0.08631873072175211,*
440021,DBPedia - TFCG,0.006780188416956659,*
440021,DBPedia - FFCG,0.07115819763783873,*
440021,TFCG - FFCG,0.08631541961826864,*
440022,DBPedia - TFCG,0.006783753254900934,*
440022,DBPedia - FFCG,0.0711578557928823,*
440022,TFCG - FFCG,0.0863152616377373,*
440023,DBPedia - TFCG,0.006781609701645671,*
440023,DBPedia - FFCG,0.07115663517125949,*
440023,TFCG - FFCG,0.0863155191905898,*
440024,DBPedia - TFCG,0.006778952123468614,*
440024,DBPedia - FFCG,0.07115760607286871,*
440024,TFCG - FFCG,0.08631478183090495,*
440025,DBPedia - TFCG,0.006775161015669158,*
440025,DBPedia - FFCG,0.0711563854644857,*
440025,TFCG - FFCG,0.0863152355925579,*
440026,DBPedia - TFCG,0.006775580038024136,*
440026,DBPedia - FFCG,0.07115516486828302,*
440026,TFCG - FFCG,0.08631505612139939,*
440027,DBPedia - TFCG,0.006776809482592594,*
440027,DBPedia - FFCG,0.07115394428426045,*
440027,TFCG - FFCG,0.0863148340710452,*
440028,DBPedia - TFCG,0.0067751180925503625,*
440028,DBPedia - FFCG,0.0711527237124178,*
440028,TFCG - FFCG,0.08631502069571739,*
440029,DBPedia - TFCG,0.006778682823897777,*
440029,DBPedia - FFCG,0.07115150315275491,*
440029,TFCG - FFCG,0.08631429166718199,*
440030,DBPedia - TFCG,0.006773634052863168,*
440030,DBPedia - FFCG,0.07115247404967934,*
440030,TFCG - FFCG,0.08631274151562936,*
440031,DBPedia - TFCG,0.006775240946065279,*
440031,DBPedia - FFCG,0.07115125350325499,*
440031,TFCG - FFCG,0.08631244238309443,*
440032,DBPedia - TFCG,0.006773097538424264,*
440032,DBPedia - FFCG,0.07115574087909968,*
440032,TFCG - FFCG,0.08631022922397501,*
440033,DBPedia - TFCG,0.006776662205491465,*
440033,DBPedia - FFCG,0.07116022820971134,*
440033,TFCG - FFCG,0.0863131007210917,*
440034,DBPedia - TFCG,0.00677287128405405,*
440034,DBPedia - FFCG,0.0711590076423079,*
440034,TFCG - FFCG,0.08631355447731309,*
440035,DBPedia - TFCG,0.006769080400517518,*
440035,DBPedia - FFCG,0.07115548512768334,*
440035,TFCG - FFCG,0.08631553705762539,*
440036,DBPedia - TFCG,0.006766423052035624,*
440036,DBPedia - FFCG,0.07115871356544635,*
440036,TFCG - FFCG,0.08631365530868552,*
440037,DBPedia - TFCG,0.0067626322397948265,*
440037,DBPedia - FFCG,0.07115968438889565,*
440037,TFCG - FFCG,0.08631257607466278,*
440038,DBPedia - TFCG,0.006758841465453279,*
440038,DBPedia - FFCG,0.07116373848732,*
440038,TFCG - FFCG,0.08630926517607905,*
440039,DBPedia - TFCG,0.0067550507290104105,*
440039,DBPedia - FFCG,0.07116339663772232,*
