simil,paths
0.1171605434,"['http://dbpedia.org/resource/Kindergarten\n', 'http://www.w3.org/2002/07/owl#Thing\n', 'http://dbpedia.org/resource/Iran\n', 'http://schema.org/Place\n', 'http://dbpedia.org/resource/Sweden\n']"
0.12367204870000001,"['http://dbpedia.org/resource/Vietnam_War\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Imprisonment\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Refer_13020000\n', 'http://www.ontologydesignpatterns.org/ont/framenet/abox/frame/Quot_1\n', 'http://dbpedia.org/resource/Film\n']"
0.12367204870000001,"['http://dbpedia.org/resource/The_Walt_Disney_Company\n', 'http://www.ontologydesignpatterns.org/ont/framenet/abox/frame/Quot_1\n', 'http://dbpedia.org/resource/Film\n']"
0.1285924389,"['http://dbpedia.org/resource/Mark_Cuban\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Say_37070100\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Go_51010200\n', 'http://dbpedia.org/resource/Iran\n', 'http://schema.org/Place\n', 'http://dbpedia.org/resource/Pennsylvania\n']"
0.1285924389,"['http://dbpedia.org/resource/Tom_Price_(U.S._politician)\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Say_37070100\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Go_51010200\n', 'http://dbpedia.org/resource/Iran\n', 'http://schema.org/Place\n', 'http://dbpedia.org/resource/Georgia_(U.S._state)\n']"
0.1285924389,"['http://dbpedia.org/resource/Tom_Price_(U.S._politician)\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Say_37070100\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Kill_42030000\n', 'http://dbpedia.org/resource/Republican_Party_(United_States)\n']"
0.1285924389,"['http://dbpedia.org/resource/Paul_Ryan\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Say_37070100\n', 'http://dbpedia.org/resource/Tom_Price_(U.S._politician)\n']"
0.1285924389,"['http://dbpedia.org/resource/Leah_Vukmir\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Say_37070100\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Kill_42030000\n', 'http://dbpedia.org/resource/Republican_Party_(United_States)\n']"
0.1285924389,"['http://dbpedia.org/resource/Tom_Price_(U.S._politician)\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Say_37070100\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Go_51010200\n', 'http://dbpedia.org/resource/Iran\n', 'http://schema.org/Place\n', 'http://dbpedia.org/resource/Michigan\n']"
0.1285924389,"['http://dbpedia.org/resource/Tom_Price_(U.S._politician)\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Say_37070100\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Person\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Speaker\n', 'http://dbpedia.org/resource/Paul_Ryan\n']"
0.1285924389,"['http://dbpedia.org/resource/Mark_Cuban\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Say_37070100\n', 'http://dbpedia.org/resource/George_Soros\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Orchestrate\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#RacialProtest\n', 'http://dbpedia.org/resource/Charlottesville,_Virginia\n', 'http://schema.org/City\n', 'http://dbpedia.org/resource/Pittsburgh\n']"
0.1285924389,"['http://dbpedia.org/resource/Mark_Cuban\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Say_37070100\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Fire_17010100\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Impose_63000000\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#JewishInstitution\n', 'http://dbpedia.org/resource/Judaism\n']"
