simil,paths
0.1636128923,"['http://dbpedia.org/resource/Marco_Rubio\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Slash_21010100\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SchoolFunding\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#PublicSchoolFunding\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#PrimarySource\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Source\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SmallpoxSource\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SameSmallpoxSource\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Expose_48012000\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#DramaticDifference\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Difference\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SimpleCosmeticChange\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Ban\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Legal\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Requirement\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#InsuranceRequirement\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Waive\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#PersonalResponsibility\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Assume_93000000\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#ExtraordinaryStep\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#EvenTake\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#ArmedGroup\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Permit_64000000\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Commission\n', 'http://dbpedia.org/resource/Ohio\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#FirearmDeath\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Rise_47060000\n', 'http://dbpedia.org/resource/Percentage\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Skip_51032000\n', 'http://dbpedia.org/resource/Bill_Nelson\n']"
0.1636128923,"['http://dbpedia.org/resource/Bill_Nelson\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Skip_51032000\n', 'http://dbpedia.org/resource/Percentage\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#There\n', 'http://www.ontologydesignpatterns.org/ont/fred/quantifiers.owl#one\n', 'http://dbpedia.org/resource/United_States\n']"
0.1636128923,"['http://dbpedia.org/resource/Bill_Nelson\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Skip_51032000\n', 'http://dbpedia.org/resource/Percentage\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#GunOwner\n', 'http://dbpedia.org/resource/Florida\n']"
0.1636128923,"['http://dbpedia.org/resource/Bill_Nelson\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Skip_51032000\n', 'http://dbpedia.org/resource/Percentage\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Disjunct\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Gathering\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Employ_105000000\n', 'http://dbpedia.org/resource/New_York_State_Senate\n', 'http://schema.org/Organization\n', 'http://dbpedia.org/resource/Democratic_Party_(United_States)\n']"
0.1636128923,"['http://dbpedia.org/resource/Bill_Nelson\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Skip_51032000\n', 'http://dbpedia.org/resource/Percentage\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#GunOwner\n', 'http://dbpedia.org/resource/Florida\n']"
0.1636128923,"['http://dbpedia.org/resource/Bill_Nelson\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Skip_51032000\n', 'http://dbpedia.org/resource/Percentage\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#There\n', 'http://www.ontologydesignpatterns.org/ont/fred/quantifiers.owl#one\n', 'http://dbpedia.org/resource/United_States\n']"
0.1636128923,"['http://dbpedia.org/resource/Bill_Nelson\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Skip_51032000\n', 'http://dbpedia.org/resource/Percentage\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Spend_66000100\n', 'http://dbpedia.org/resource/Marco_Rubio\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Slash_21010100\n', 'http://dbpedia.org/resource/Marco_Rubio\n']"
0.1658254364,"['http://dbpedia.org/resource/People_(magazine)\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#PersonallyBelieve\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Personally\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#PersonallyBenefit\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#PayDeal\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cancellation\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Last-minuteCancellation\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fyre_festival\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#RapidlyDescend\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Chaos\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#PossiblyCan\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Possibly\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#PossiblyStarve\n', 'http://dbpedia.org/resource/Polar_bear\n', 'http://dbpedia.org/resource/Bear\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#EnormousBear\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Show_48012000\n', 'http://dbpedia.org/resource/News\n']"
0.1730366207,"['http://dbpedia.org/resource/California_State_Senate\n', 'http://schema.org/Organization\n', 'http://dbpedia.org/resource/Republican_Party_(United_States)\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#HealthCarePlan\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#HealthCare\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Spend_66000100\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Day\n', 'http://dbpedia.org/resource/Primary_election\n', 'http://dbpedia.org/resource/California\n']"
0.1730366207,"['http://dbpedia.org/resource/Netflix\n', 'http://schema.org/Organization\n', 'http://dbpedia.org/resource/Republican_Party_(United_States)\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#HealthCarePlan\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#HealthCare\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Spend_66000100\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#IllegalImmigrant\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Half\n', 'http://www.ontologydesignpatterns.org/ont/fred/quantifiers.owl#one\n', 'http://dbpedia.org/resource/United_States\n']"
