('fredup:EverHit', 'fredup:Ever', 'hasQuality')
('fredup:NewSafetyStandard', 'fredup:Safety', 'associatedWith')
('fredup:NewArea', 'fredup:New', 'hasQuality')
('fredup:ManufacturingJob', 'fredup:Manufacturing', 'associatedWith')
('fredup:NearlyTen', 'fredup:Nearly', 'hasQuality')
('fredup:CoalMiningJob', 'fredup:Coal', 'associatedWith')
('db:Coal_mining', 'fredup:Coal', 'associatedWith')
('fredup:FourthGradeLeader', 'fredup:Grade', 'associatedWith')
('fredup:EighthGradeLeader', 'fredup:Grade', 'associatedWith')
('fredup:MathGain', 'fredup:Math', 'associatedWith')
('fredup:MassiveTaxBreak', 'fredup:Tax', 'associatedWith')
('fredup:RecruitingTool', 'fredup:Recruiting', 'associatedWith')
('fredup:RoutinelyDeny', 'fredup:Routinely', 'hasQuality')
('fredup:MoreCounty', 'fredup:More', 'hasQuality')
('fredup:SouthernBorder', 'fredup:Southern', 'hasQuality')
('fredup:TaxCut', 'fredup:Tax', 'associatedWith')
('fredup:TooDollar', 'fredup:Too', 'hasQuality')
('fredup:VerySimilarView', 'fredup:Similar', 'hasQuality')
('fredup:VerySimilarView', 'fredup:Very', 'hasQuality')
('fredup:NationalSecurityExpertise', 'fredup:NationalSecurity', 'associatedWith')
('fredup:GraduationRate', 'fredup:Graduation', 'associatedWith')
('fredup:ActuallyPropose', 'fredup:Actually', 'hasQuality')
('fredup:HospitalPrescriptionDrug', 'fredup:Hospital', 'associatedWith')
('fredup:HospitalPrescriptionDrug', 'fredup:HospitalPrescription', 'associatedWith')
('fredup:HospitalPrescription', 'fredup:Hospital', 'associatedWith')
('fredup:HealthCareCost', 'fredup:Health', 'associatedWith')
('db:Health_care', 'fredup:Health', 'associatedWith')
('fredup:TaxReturn', 'fredup:Tax', 'associatedWith')
('fredup:MajorPartyNominee', 'fredup:MajorParty', 'associatedWith')
('fredup:KeyCommittee', 'fredup:Key', 'hasQuality')
('fredup:StillThink', 'fredup:Still', 'hasQuality')
('fredup:TaxReturn', 'fredup:Tax', 'associatedWith')
('fredup:PoliceOfficer', 'fredup:Police', 'associatedWith')
('fredup:HighestRate', 'fredup:Highest', 'hasQuality')
('fredup:RealEstateCrash', 'fredup:RealEstate', 'associatedWith')
('fredup:NowHave', 'fredup:Now', 'hasQuality')
('fredup:TradeDeal', 'fredup:Trade', 'associatedWith')
('fredup:TremendousJobGrowth', 'fredup:TremendousJob', 'associatedWith')
('fredup:MentalHealthCare', 'fredup:MentalHealth', 'associatedWith')
('fredup:MentalHealthCareFunding', 'fredup:MentalHealth', 'associatedWith')
('fredup:MentalHealthCareFunding', 'fredup:MentalHealthCare', 'associatedWith')
('fredup:SchoolDistrict', 'fredup:School', 'associatedWith')
('fredup:GraduationRate', 'fredup:Graduation', 'associatedWith')
('fredup:GreenCard', 'fredup:Green', 'hasQuality')
('fredup:PercentGrowth', 'fredup:Percent', 'associatedWith')
('fredup:TaxCut', 'fredup:Tax', 'associatedWith')
('fredup:MoreVote', 'fredup:More', 'hasQuality')
('db:Austin_Independent_School_District', 'fredup:School', 'associatedWith')
('fredup:LocalPropertyTax', 'fredup:Property', 'associatedWith')
('fredup:ActuallyHold', 'fredup:Actually', 'hasQuality')
('fredup:LegalBorderCrossing', 'fredup:Border', 'associatedWith')
('fredup:HighestCreditRating', 'fredup:HighestCredit', 'associatedWith')
('db:College_Basketball_on_CBS', 'fredup:College', 'associatedWith')
('fredup:SameWaterInfrastructure', 'fredup:SameWater', 'associatedWith')
('fredup:UltimatelyHave', 'fredup:Ultimately', 'hasQuality')
('fredup:ConsecutiveBalancedBudget', 'fredup:Consecutive', 'hasQuality')
('fredup:PoliceBroadAuthority', 'fredup:Police', 'associatedWith')
('fredup:BodyCameraFootage', 'fredup:Body', 'associatedWith')
('db:Body_worn_video', 'fredup:Body', 'associatedWith')
('fredup:TogetherSomeplace', 'fredup:Together', 'hasQuality')
('fredup:NavalExercise', 'fredup:Naval', 'hasQuality')
('fredup:LowVoterTurnoutRate', 'fredup:LowVoterTurnout', 'associatedWith')
('fredup:LowVoterTurnoutRate', 'fredup:LowVoter', 'associatedWith')
('fredup:LowVoterTurnout', 'fredup:LowVoter', 'associatedWith')
('fredup:PoliticalArrest', 'fredup:Political', 'hasQuality')
('fredup:AllTime', 'fredup:All', 'associatedWith')
('fredup:MinimumWageWorker', 'fredup:MinimumWage', 'associatedWith')
('fredup:LessBuyingPower', 'fredup:LessBuying', 'associatedWith')
('fredup:APlusRating', 'fredup:APlus', 'associatedWith')
('fredup:APlus', 'fredup:A', 'associatedWith')
('fredup:NearlyDoubleThat', 'fredup:Nearly', 'hasQuality')
('fredup:MostConcealedWeaponPermit', 'fredup:Weapon', 'associatedWith')
('fredup:OftenDiffer', 'fredup:Often', 'hasQuality')
('fredup:ImitationDairyProduct', 'fredup:ImitationDairy', 'associatedWith')
('fredup:ImitationDairyProduct', 'fredup:Imitation', 'associatedWith')
('fredup:ImitationDairy', 'fredup:Imitation', 'associatedWith')
('fredup:EligibleResident', 'fredup:Eligible', 'hasQuality')
('fredup:NowRank', 'fredup:Now', 'hasQuality')
('fredup:StateFundedTreatmentCapacity', 'fredup:Treatment', 'associatedWith')
('fredup:StateFundedTreatmentCapacity', 'fredup:State', 'associatedWith')
('fredup:PrivatePrison', 'fredup:Private', 'hasQuality')
('fredup:WeaponManufacturer', 'fredup:Weapon', 'associatedWith')
('fredup:DailyExpensePayment', 'fredup:Expense', 'associatedWith')
('fredup:SchoolFunding', 'fredup:School', 'associatedWith')
('fredup:OpenlyAdvocate', 'fredup:Openly', 'hasQuality')
('db:Tax_exemption', 'fredup:Tax', 'associatedWith')
('fredup:ForeignBank', 'fredup:Foreign', 'hasQuality')
('fredup:UnionJob', 'fredup:Union', 'associatedWith')
('fredup:TownBoard', 'fredup:Town', 'associatedWith')
('db:Publicâ€“private_partnership', 'fredup:Public', 'hasQuality')
('fredup:AllConclude', 'fredup:All', 'hasQuality')
('fredup:DozenOr', 'fredup:Dozen', 'associatedWith')
('db:Same-sex_marriage', 'fredup:Marriage', 'associatedWith')
('db:Climate_change', 'fredup:Climate', 'associatedWith')
('fredup:AboutDollar', 'fredup:About', 'hasQuality')
('fredup:LastWeek', 'fredup:Last', 'hasQuality')
('db:Climate_change', 'fredup:Climate', 'associatedWith')
('fredup:TaxpayerDollar', 'fredup:Taxpayer', 'associatedWith')
('fredup:PrivatePrisonGuard', 'fredup:Prison', 'associatedWith')
('db:Health_care', 'fredup:Health', 'associatedWith')
('fredup:AlsoGet', 'fredup:Also', 'hasQuality')
('fredup:HealthCareLobbyist', 'fredup:Health', 'associatedWith')
('db:Charter_school', 'fredup:Charter', 'associatedWith')
('fredup:GunMaker', 'fredup:Gun', 'associatedWith')
('fredup:SpecialProtectionImmunity', 'fredup:Protection', 'associatedWith')
('fredup:CountryPrison', 'fredup:Country', 'associatedWith')
('fredup:CountryPrisonPopulation', 'fredup:Country', 'associatedWith')
('fredup:CountryPrisonPopulation', 'fredup:CountryPrison', 'associatedWith')
('fredup:WorstVoteAttendanceRecord', 'fredup:WorstVoteAttendance', 'associatedWith')
('fredup:WorstVoteAttendanceRecord', 'fredup:WorstVote', 'associatedWith')
('fredup:WorstVoteAttendance', 'fredup:WorstVote', 'associatedWith')
('fredup:EnrollmentDrop', 'fredup:Enrollment', 'associatedWith')
('fredup:ResetButton', 'fredup:Reset', 'associatedWith')
('fredup:HomelessPreventionService', 'fredup:Prevention', 'associatedWith')
('fredup:RiskYouth', 'fredup:Risk', 'associatedWith')
('fredup:AfterschoolProgram', 'fredup:Afterschool', 'hasQuality')
('db:Venture_capital', 'fredup:Venture', 'associatedWith')
('fredup:NeverHelp', 'fredup:Never', 'hasQuality')
('fredup:LowerIncomePeople', 'fredup:LowerIncome', 'associatedWith')
('fredup:AlsoExpand', 'fredup:Also', 'hasQuality')
('db:Health_insurance', 'fredup:Health', 'associatedWith')
('fredup:IllegalImmigrant', 'fredup:Illegal', 'hasQuality')
('fredup:FreeCollegeTuition', 'fredup:FreeCollege', 'associatedWith')
('fredup:FullyFund', 'fredup:Fully', 'hasQuality')
('fredup:StateBudget', 'fredup:State', 'associatedWith')
('fredup:MiddleClassFamily', 'fredup:Class', 'associatedWith')
('fredup:SeveralElectedStateOfficial', 'fredup:State', 'associatedWith')
('fredup:OnceSuggest', 'fredup:Once', 'hasQuality')
('fredup:WomenHealthService', 'fredup:Women', 'associatedWith')
('fredup:WomenHealthService', 'fredup:WomenHealth', 'associatedWith')
('fredup:SewerSystem', 'fredup:Sewer', 'associatedWith')
('fredup:WomenHealth', 'fredup:Women', 'associatedWith')
('fredup:AntiAbortionGroup', 'fredup:AntiAbortion', 'associatedWith')
('fredup:LicensedCardHolder', 'fredup:LicensedCard', 'associatedWith')
#####################################
Cycle Found!
Degree of cycle nodes
 {'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#MinimumWageProposal': 4, 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#WageIncrease': 2}
Node removed: http://www.ontologydesignpatterns.org/ont/fred/domain.owl#WageIncrease
('db:Minimum_wage', 'fredup:Minimum', 'associatedWith')
('fredup:MinimumWageProposal', 'fredup:Minimum', 'associatedWith')
('fredup:EasilyQualify', 'fredup:Easily', 'hasQuality')
('fredup:FoodStamp', 'fredup:Food', 'associatedWith')
('fredup:CurrentMinimumWage', 'fredup:CurrentMinimum', 'associatedWith')
('fredup:DisproportionatelyIncrease', 'fredup:Disproportionately', 'hasQuality')
('db:Strip_club', 'fredup:Strip', 'associatedWith')
('fredup:AdministrationProjection', 'fredup:Administration', 'associatedWith')
('db:Upstate_New_York', 'fredup:Upstate', 'hasQuality')
('fredup:EconomicIndicator', 'fredup:Economic', 'hasQuality')
('fredup:ForeignGovernment', 'fredup:Foreign', 'hasQuality')
('db:Law_firm', 'fredup:Law', 'associatedWith')
('fredup:PlatformProvision', 'fredup:Platform', 'associatedWith')
('fredup:ArentCount', 'fredup:Arent', 'hasQuality')
('fredup:BritishVoter', 'fredup:British', 'hasQuality')
('fredup:OverwhelminglyVote', 'fredup:Overwhelmingly', 'hasQuality')
('fredup:OlderVoter', 'fredup:Older', 'hasQuality')
('fredup:EspeciallyMillennial', 'fredup:Especially', 'hasQuality')
('fredup:OnlyMake', 'fredup:Only', 'hasQuality')
('fredup:OverallWorkForce', 'fredup:OverallWork', 'associatedWith')
('fredup:IllegalImmigrant', 'fredup:Illegal', 'hasQuality')
('fredup:TonightRoam', 'fredup:Tonight', 'hasQuality')
('fredup:CriminalRecord', 'fredup:Criminal', 'hasQuality')
('fredup:HalfAircraft', 'fredup:Half', 'associatedWith')
('fredup:HalfAircraftCarrier', 'fredup:Half', 'associatedWith')
('fredup:BorderWall', 'fredup:Border', 'associatedWith')
('fredup:HalfAircraftCarrier', 'fredup:HalfAircraft', 'associatedWith')
('fredup:ReligiousSchool', 'fredup:Religious', 'hasQuality')
('fredup:BudgetMoreMoney', 'fredup:Budget', 'associatedWith')
('fredup:CampaignPledge', 'fredup:Campaign', 'associatedWith')
('fredup:AuthorizationThat', 'fredup:Authorization', 'associatedWith')
('fredup:AlreadyHappen', 'fredup:Already', 'hasQuality')
('fredup:TopThreat', 'fredup:Top', 'hasQuality')
('fredup:FederalBusinessTax', 'fredup:FederalBusiness', 'associatedWith')
('fredup:FederalBusinessTaxRate', 'fredup:FederalBusiness', 'associatedWith')
('fredup:FederalBusinessTaxRate', 'fredup:FederalBusinessTax', 'associatedWith')
('fredup:NowPrettyMuchLive', 'fredup:Much', 'hasQuality')
('fredup:NowPrettyMuchLive', 'fredup:Now', 'hasQuality')
('fredup:NowPrettyMuchLive', 'fredup:Pretty', 'hasQuality')
('fredup:FullTaxReturn', 'fredup:Tax', 'associatedWith')
('fredup:SkillGap', 'fredup:Skill', 'associatedWith')
('fredup:DeathSentence', 'fredup:Death', 'associatedWith')
('fredup:MoreGunSale', 'fredup:Gun', 'associatedWith')
('db:Background_check', 'fredup:Background', 'associatedWith')
('db:National_Instant_Criminal_Background_Check_System', 'fredup:Background', 'associatedWith')
('fredup:NowDie', 'fredup:Now', 'hasQuality')
('db:Drug_overdose', 'fredup:Drug', 'associatedWith')
('fredup:CarCrash', 'fredup:Car', 'associatedWith')
('fredup:LessLikely', 'fredup:Less', 'hasQuality')
('fredup:FreeCollegeTuition', 'fredup:FreeCollege', 'associatedWith')
('fredup:OftenStart', 'fredup:Often', 'hasQuality')
('fredup:SpanishSpeakingCountry', 'fredup:Speaking', 'associatedWith')
('fredup:NationalAverage', 'fredup:National', 'hasQuality')
('fredup:Sodium', 'fredup:M', 'associatedWith')
('fredup:AnimalDeath', 'fredup:Animal', 'associatedWith')
('db:Sodium_cyanide', 'fredup:Sodium', 'associatedWith')
('db:Hate_group', 'fredup:Hate', 'associatedWith')
('fredup:UndocumentedImmigrant', 'fredup:Undocumented', 'hasQuality')
('fredup:RecentYear', 'fredup:Recent', 'hasQuality')
('fredup:PublicHearing', 'fredup:Public', 'hasQuality')
('fredup:GunIssue', 'fredup:Gun', 'associatedWith')
('fredup:DuplicateProgram', 'fredup:Duplicate', 'hasQuality')
('fredup:HouseholdWaste', 'fredup:Household', 'associatedWith')
('db:Health_care_in_the_United_States', 'fredup:Health', 'associatedWith')
('fredup:FamilyLeaveProgram', 'fredup:Family', 'associatedWith')
('db:Paid_Family_Leave_(California)', 'fredup:Family', 'associatedWith')
('fredup:JustHave', 'fredup:Just', 'hasQuality')
('db:Automotive_industry_in_the_United_States', 'fredup:Auto', 'associatedWith')
('fredup:PracticingMuslim', 'fredup:Practicing', 'associatedWith')
('fredup:OrlandoHateCrime', 'fredup:OrlandoHate', 'associatedWith')
('fredup:BossFire', 'fredup:Boss', 'associatedWith')
('fredup:NationLowestWorkforceParticipationRate', 'fredup:Nation', 'associatedWith')
('fredup:NationLowestWorkforceParticipationRate', 'fredup:WorkforceParticipation', 'associatedWith')
('fredup:DomesticSolarIndustry', 'fredup:Domestic', 'hasQuality')
('fredup:IllegalImmigrant', 'fredup:Illegal', 'hasQuality')
('fredup:StraightYear', 'fredup:Straight', 'hasQuality')
('fredup:EssentiallyBorrow', 'fredup:Essentially', 'hasQuality')
('fredup:VeryHighInterestRate', 'fredup:VeryHighInterest', 'associatedWith')
('db:Status_quo', 'fredup:Status', 'associatedWith')
('fredup:ProbablySteal', 'fredup:Probably', 'hasQuality')
('fredup:ActuallyBalance', 'fredup:Actually', 'hasQuality')
('db:Gun_violence', 'fredup:Gun', 'associatedWith')
('fredup:NowFind', 'fredup:Now', 'hasQuality')
('fredup:FederalRuling', 'fredup:Federal', 'hasQuality')
('fredup:AsRecently', 'fredup:As', 'hasQuality')
('fredup:EspeciallyTarget', 'fredup:Especially', 'hasQuality')
('fredup:AlreadyWorry', 'fredup:Already', 'hasQuality')
('fredup:EvenHerpes', 'fredup:Even', 'hasQuality')
('fredup:BeatHerpes', 'fredup:Beat', 'hasQuality')
('fredup:OwnVoluntaryAgreement', 'fredup:Own', 'hasQuality')
('fredup:PermanentIncomeTaxIncrease', 'fredup:Tax', 'associatedWith')
('fredup:PermanentIncomeTaxIncrease', 'fredup:PermanentIncomeTax', 'associatedWith')
('fredup:PermanentIncomeTax', 'fredup:PermanentIncome', 'associatedWith')
('fredup:FemalePrimaryBreadwinner', 'fredup:Female', 'hasQuality')
('fredup:FemalePrimaryBreadwinner', 'fredup:Primary', 'hasQuality')
('fredup:MedicallyUnderservedArea', 'fredup:Underserved', 'hasQuality')
('fredup:MedicallyUnderservedArea', 'fredup:Medically', 'hasQuality')
('fredup:RoughlyDouble', 'fredup:Roughly', 'hasQuality')
('fredup:BoardHearing', 'fredup:Board', 'associatedWith')
('fredup:NowBeat', 'fredup:Now', 'hasQuality')
('fredup:EvenCreditCardDebt', 'fredup:Card', 'associatedWith')
('fredup:NowExceed', 'fredup:Now', 'hasQuality')
('fredup:MoreRespectedToday', 'fredup:More', 'hasQuality')
('fredup:ConfirmationProcess', 'fredup:Confirmation', 'associatedWith')
('fredup:HighestPovertyRate', 'fredup:HighestPoverty', 'associatedWith')
('fredup:BillHand', 'fredup:Bill', 'associatedWith')
('fredup:TaxCut', 'fredup:Tax', 'associatedWith')
('db:Health_care', 'fredup:Health', 'associatedWith')
('fredup:ReproductiveHealthCare', 'fredup:ReproductiveHealth', 'associatedWith')
('fredup:BestJobReport', 'fredup:Job', 'associatedWith')
('fredup:IllegallyCome', 'fredup:Illegally', 'hasQuality')
('fredup:BiggestPrivateLawsuit', 'fredup:Private', 'hasQuality')
('fredup:BiggestPrivateLawsuit', 'fredup:Biggest', 'hasQuality')
('fredup:EverHave', 'fredup:Ever', 'hasQuality')
('fredup:MorePrivateSectorJob', 'fredup:Sector', 'associatedWith')
('fredup:BumpFireStock', 'fredup:Fire', 'associatedWith')
('fredup:DarkSuit', 'fredup:Dark', 'hasQuality')
('db:Health_care_in_the_United_States', 'fredup:Health', 'associatedWith')
('fredup:AlmostUniversalCoverage', 'fredup:Almost', 'hasQuality')
('fredup:PictureFrame', 'fredup:Picture', 'associatedWith')
('fredup:GoldMedal', 'fredup:Gold', 'associatedWith')
('fredup:WageGap', 'fredup:Wage', 'associatedWith')
#####################################
Cycle Found!
Degree of cycle nodes
 {'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#There': 3, 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Attack': 2}
Node removed: http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Attack
('fredup:VariousEmbassy', 'fredup:Various', 'hasQuality')
('fredup:EnergyExploration', 'fredup:Energy', 'associatedWith')
('fredup:PermanentImmigrant', 'fredup:Permanent', 'hasQuality')
('fredup:OverDollar', 'fredup:Over', 'hasQuality')
('fredup:StateBudget', 'fredup:State', 'associatedWith')
('fredup:GunLaw', 'fredup:Gun', 'associatedWith')
('fredup:MajorShooting', 'fredup:Major', 'hasQuality')
('fredup:LastFewMonth', 'fredup:Last', 'hasQuality')
('fredup:LargeNumber', 'fredup:Large', 'hasQuality')
('fredup:ViolentCriminal', 'fredup:Violent', 'hasQuality')
('fredup:TownHall', 'fredup:Town', 'associatedWith')
('db:Town_hall_meeting', 'fredup:Town', 'associatedWith')
('fredup:GlobalFoodDemand', 'fredup:GlobalFood', 'associatedWith')
('fredup:TaxDollar', 'fredup:Tax', 'associatedWith')
('db:Venture_capital', 'fredup:Venture', 'associatedWith')
('fredup:MostExpensiveArea', 'fredup:Expensive', 'hasQuality')
('fredup:MostExpensiveArea', 'fredup:Most', 'hasQuality')
('fredup:HealthCare', 'fredup:Health', 'associatedWith')
('fredup:MoreEconomicGrowth', 'fredup:More', 'hasQuality')
('fredup:MoreJob', 'fredup:More', 'hasQuality')
('db:State_legislature_(United_States)', 'fredup:State', 'associatedWith')
('fredup:IllegalImmigrationRate', 'fredup:IllegalImmigration', 'associatedWith')
('fredup:MileFence', 'fredup:Mile', 'associatedWith')
('db:Health_care', 'fredup:Health', 'associatedWith')
('fredup:ActuallyPay', 'fredup:Actually', 'hasQuality')
('fredup:HealthCareDollar', 'fredup:Health', 'associatedWith')
('fredup:PastFewWeek', 'fredup:Past', 'hasQuality')
('fredup:IranianViolation', 'fredup:Iranian', 'hasQuality')
('fredup:BallisticMissileTest', 'fredup:Missile', 'associatedWith')
('fredup:ActuallyVote', 'fredup:Actually', 'hasQuality')
('fredup:SingleTradeDeal', 'fredup:SingleTrade', 'associatedWith')
('fredup:EverCome', 'fredup:Ever', 'hasQuality')
('fredup:NowOwn', 'fredup:Now', 'hasQuality')
('fredup:SexualHarassmentCoverUp', 'fredup:Cover', 'associatedWith')
('fredup:GlobalTerroristThreat', 'fredup:Global', 'hasQuality')
('fredup:MoreWealth', 'fredup:More', 'hasQuality')
('fredup:CampusBuilding', 'fredup:Campus', 'associatedWith')
('fredup:ProspectiveApplicant', 'fredup:Prospective', 'hasQuality')
('fredup:JobApplicant', 'fredup:Job', 'associatedWith')
('fredup:StateBudget', 'fredup:State', 'associatedWith')
('fredup:StateDollar', 'fredup:State', 'associatedWith')
('fredup:DiversityVisa', 'fredup:Diversity', 'associatedWith')
('db:Diversity_Immigrant_Visa', 'fredup:Diversity', 'associatedWith')
('fredup:LotMoreJob', 'fredup:Lot', 'associatedWith')
('fredup:UniversalBackgroundCheck', 'fredup:Background', 'associatedWith')
('fredup:GunPurchase', 'fredup:Gun', 'associatedWith')
('fredup:PercentVoting', 'fredup:Percent', 'associatedWith')
('fredup:PercentVotingRecord', 'fredup:Percent', 'associatedWith')
('fredup:PercentVotingRecord', 'fredup:PercentVoting', 'associatedWith')
('fredup:YearOld', 'fredup:Year', 'associatedWith')
('fredup:PerCapitaBasis', 'fredup:PerCapita', 'associatedWith')
('fredup:PerCapita', 'fredup:Per', 'associatedWith')
('fredup:NationHistory', 'fredup:Nation', 'associatedWith')
('fredup:NearlyDollar', 'fredup:Nearly', 'hasQuality')
('db:Balance_of_trade', 'fredup:Trade', 'associatedWith')
('db:Health_insurance', 'fredup:Health', 'associatedWith')
('fredup:HealthInsurancePremium', 'fredup:Health', 'associatedWith')
('db:Tax', 'fredup:Tax', 'associatedWith')
('fredup:TaxRateIncrease', 'fredup:Tax', 'associatedWith')
('fredup:Austin_school_districtBondProposition', 'fredup:Austin_school_districtBond', 'associatedWith')
('fredup:ExtensivelySupport', 'fredup:Extensively', 'hasQuality')
('fredup:EvenSay', 'fredup:Even', 'hasQuality')
