index,type,kendalltau,p-value
260001,DBPedia - TFCG,0.01612695839799018,*
260001,DBPedia - FFCG,0.006357445670855981,*
260001,TFCG - FFCG,0.12197372442553138,*
260002,DBPedia - TFCG,0.01612704614200261,*
260002,DBPedia - FFCG,0.006351527017838765,*
260002,TFCG - FFCG,0.12197328163525412,*
260003,DBPedia - TFCG,0.0161215310113764,*
260003,DBPedia - FFCG,0.006349908281827886,*
260003,TFCG - FFCG,0.1219741388536831,*
260004,DBPedia - TFCG,0.016113810663710353,*
260004,DBPedia - FFCG,0.0063421981962697,*
260004,TFCG - FFCG,0.12197981732341477,*
260005,DBPedia - TFCG,0.016113898525026094,*
260005,DBPedia - FFCG,0.006340579571099035,*
260005,TFCG - FFCG,0.12197990718865796,*
260006,DBPedia - TFCG,0.01611547872828278,*
260006,DBPedia - FFCG,0.00633896097443892,*
260006,TFCG - FFCG,0.12197961121114294,*
260007,DBPedia - TFCG,0.01612052312707679,*
260007,DBPedia - FFCG,0.006340302486845872,*
260007,TFCG - FFCG,0.12197988300681273,*
260008,DBPedia - TFCG,0.016120610924243488,*
260008,DBPedia - FFCG,0.006336516391123196,*
260008,TFCG - FFCG,0.12197980835278117,*
260009,DBPedia - TFCG,0.016120698719834913,*
260009,DBPedia - FFCG,0.006330598290794464,*
260009,TFCG - FFCG,0.12197936558395976,*
260010,DBPedia - TFCG,0.016122278801790096,*
260010,DBPedia - FFCG,0.006324680295015144,*
260010,TFCG - FFCG,0.12197787207847165,*
260011,DBPedia - TFCG,0.016122366580343363,*
260011,DBPedia - FFCG,0.006318762403782417,*
260011,TFCG - FFCG,0.121977429328977,*
260012,DBPedia - TFCG,0.016116851939927377,*
260012,DBPedia - FFCG,0.006314976631581157,*
260012,TFCG - FFCG,0.12197951373005196,*
260013,DBPedia - TFCG,0.016116939766279256,*
260013,DBPedia - FFCG,0.006309058930453057,*
260013,TFCG - FFCG,0.12197907093930686,*
260014,DBPedia - TFCG,0.016117027591055388,*
260014,DBPedia - FFCG,0.006312230129741045,*
260014,TFCG - FFCG,0.12197881615339225,*
260015,DBPedia - TFCG,0.016117115414255815,*
260015,DBPedia - FFCG,0.006306312559856657,*
260015,TFCG - FFCG,0.12197837337281041,*
260016,DBPedia - TFCG,0.016108478878448202,*
260016,DBPedia - FFCG,0.006304694408174471,*
260016,TFCG - FFCG,0.12197908294783381,*
260017,DBPedia - TFCG,0.016107439353624374,*
260017,DBPedia - FFCG,0.0062987770091114895,*
260017,TFCG - FFCG,0.12197936901868289,*
260018,DBPedia - TFCG,0.01611280183309791,*
260018,DBPedia - FFCG,0.00630561818464842,*
260018,TFCG - FFCG,0.12198258463082944,*
260019,DBPedia - TFCG,0.0161143818563863,*
260019,DBPedia - FFCG,0.00629970088469731,*
260019,TFCG - FFCG,0.12198109111682472,*
260020,DBPedia - TFCG,0.01612185549522898,*
260020,DBPedia - FFCG,0.0062996516210139936,*
260020,TFCG - FFCG,0.12198021802499721,*
260021,DBPedia - TFCG,0.016116341310603778,*
260021,DBPedia - FFCG,0.006291943155420483,*
260021,TFCG - FFCG,0.12198413559583521,*
260022,DBPedia - TFCG,0.016116429133131768,*
260022,DBPedia - FFCG,0.006286026135371979,*
260022,TFCG - FFCG,0.12198369284283674,*
260023,DBPedia - TFCG,0.016116516954084184,*
260023,DBPedia - FFCG,0.006280109219842286,*
260023,TFCG - FFCG,0.1219832500964998,*
260024,DBPedia - TFCG,0.01611419044387755,*
260024,DBPedia - FFCG,0.006276324193796671,*
260024,TFCG - FFCG,0.12198415954837599,*
260025,DBPedia - TFCG,0.016122421507521797,*
260025,DBPedia - FFCG,0.006281563842885155,*
260025,TFCG - FFCG,0.12198815597272467,*
260026,DBPedia - TFCG,0.01611690756668949,*
260026,DBPedia - FFCG,0.006284734954213854,*
260026,TFCG - FFCG,0.1219857343315297,*
260027,DBPedia - TFCG,0.016122098264803986,*
260027,DBPedia - FFCG,0.006280949990782806,*
260027,TFCG - FFCG,0.12198289724056909,*
260028,DBPedia - TFCG,0.01612773508055094,*
260028,DBPedia - FFCG,0.006286044322108422,*
260028,TFCG - FFCG,0.12198546567116436,*
260029,DBPedia - TFCG,0.016135148240110184,*
260029,DBPedia - FFCG,0.006292641335159437,*
260029,TFCG - FFCG,0.12199019772288505,*
260030,DBPedia - TFCG,0.016135235883212213,*
260030,DBPedia - FFCG,0.00628672473711021,*
260030,TFCG - FFCG,0.12198975499181532,*
260031,DBPedia - TFCG,0.016127517308775704,*
260031,DBPedia - FFCG,0.006279017082680683,*
260031,TFCG - FFCG,0.12199543280251238,*
260032,DBPedia - TFCG,0.016119798871763888,*
260032,DBPedia - FFCG,0.006271309566795209,*
260032,TFCG - FFCG,0.12200111052875852,*
260033,DBPedia - TFCG,0.01612802928317489,*
260033,DBPedia - FFCG,0.006273921111158772,*
260033,TFCG - FFCG,0.12200268210518832,*
260034,DBPedia - TFCG,0.016128116987455567,*
260034,DBPedia - FFCG,0.006268004891609706,*
260034,TFCG - FFCG,0.1220022393768891,*
260035,DBPedia - TFCG,0.016125790603015843,*
260035,DBPedia - FFCG,0.0062687335174880674,*
260035,TFCG - FFCG,0.12200213834518864,*
260036,DBPedia - TFCG,0.016130586841165556,*
260036,DBPedia - FFCG,0.006264949002953333,*
260036,TFCG - FFCG,0.12199954379402614,*
260037,DBPedia - TFCG,0.016133532965999606,*
260037,DBPedia - FFCG,0.0062649000617323435,*
260037,TFCG - FFCG,0.12199933762323094,*
260038,DBPedia - TFCG,0.016125814897985893,*
260038,DBPedia - FFCG,0.00626328259354641,*
260038,TFCG - FFCG,0.12200017046555671,*
260039,DBPedia - TFCG,0.01612906045566344,*
260039,DBPedia - FFCG,0.0062555757039037185,*
260039,TFCG - FFCG,0.12199648219182528,*
260040,DBPedia - TFCG,0.016130640022465288,*
260040,DBPedia - FFCG,0.006249659963625953,*
260040,TFCG - FFCG,0.12199498893316711,*
260041,DBPedia - TFCG,0.01613335678683722,*
260041,DBPedia - FFCG,0.0062543117655941985,*
260041,TFCG - FFCG,0.1219959755455337,*
260042,DBPedia - TFCG,0.016138892294555347,*
260042,DBPedia - FFCG,0.006252694448434841,*
260042,TFCG - FFCG,0.121994363666577,*
260043,DBPedia - TFCG,0.016138979890627323,*
260043,DBPedia - FFCG,0.006246778892753977,*
260043,TFCG - FFCG,0.12199392103417542,*
260044,DBPedia - TFCG,0.016131262198085007,*
260044,DBPedia - FFCG,0.0062390724959236355,*
260044,TFCG - FFCG,0.12199959849294566,*
260045,DBPedia - TFCG,0.016136451903781327,*
260045,DBPedia - FFCG,0.006239023793113939,*
260045,TFCG - FFCG,0.12199900271308364,*
260046,DBPedia - TFCG,0.016144126781114897,*
260046,DBPedia - FFCG,0.006237406668001635,*
260046,TFCG - FFCG,0.12199669263980166,*
260047,DBPedia - TFCG,0.016149169062206307,*
260047,DBPedia - FFCG,0.006235789571364204,*
260047,TFCG - FFCG,0.1219951934925256,*
260048,DBPedia - TFCG,0.016143655994411654,*
260048,DBPedia - FFCG,0.006235740899573513,*
260048,TFCG - FFCG,0.12199508105844913,*
260049,DBPedia - TFCG,0.016149016613090927,*
260049,DBPedia - FFCG,0.006228034946719701,*
260049,TFCG - FFCG,0.1219895317545663,*
260050,DBPedia - TFCG,0.016143503645540826,*
260050,DBPedia - FFCG,0.006226417975865141,*
260050,TFCG - FFCG,0.12199038830073179,*
260051,DBPedia - TFCG,0.016135786401017437,*
260051,DBPedia - FFCG,0.00622636939050843,*
260051,TFCG - FFCG,0.12198987032293822,*
260052,DBPedia - TFCG,0.016137365730937065,*
260052,DBPedia - FFCG,0.006217878387387867,*
260052,TFCG - FFCG,0.12198729302838042,*
260053,DBPedia - TFCG,0.016129648680489706,*
260053,DBPedia - FFCG,0.006221527669443669,*
260053,TFCG - FFCG,0.12198341259287727,*
260054,DBPedia - TFCG,0.016135183617658984,*
260054,DBPedia - FFCG,0.006228174321353355,*
260054,TFCG - FFCG,0.12198665112818252,*
260055,DBPedia - TFCG,0.01613527123560273,*
260055,DBPedia - FFCG,0.0062222596224801,*
260055,TFCG - FFCG,0.12198620852055972,*
260056,DBPedia - TFCG,0.01612755441422914,*
260056,DBPedia - FFCG,0.006214554280488517,*
