index,type,kendalltau,p-value
120001,DBPedia - TFCG,-0.00040066974261604443,!
120001,DBPedia - FFCG,-0.013579625888597353,*
120001,TFCG - FFCG,0.12973483171936154,*
120002,DBPedia - TFCG,-0.0004042575182380842,!
120002,DBPedia - FFCG,-0.013572350754043387,*
120002,TFCG - FFCG,0.12973205244327335,*
120003,DBPedia - TFCG,-0.0004078451650023615,!
120003,DBPedia - FFCG,-0.013578890691512356,*
120003,TFCG - FFCG,0.12973380387074968,*
120004,DBPedia - TFCG,-0.00041356745643620713,!
120004,DBPedia - FFCG,-0.013592540745139768,*
120004,TFCG - FFCG,0.12973827087715975,*
120005,DBPedia - TFCG,-0.00042733187532915164,!
120005,DBPedia - FFCG,-0.013606190312396483,*
120005,TFCG - FFCG,0.12975047886501523,*
120006,DBPedia - TFCG,-0.0004410958077177524,!
120006,DBPedia - FFCG,-0.013621257102294355,*
120006,TFCG - FFCG,0.12976382836529946,*
120007,DBPedia - TFCG,-0.0004446825373535577,!
120007,DBPedia - FFCG,-0.013627795710884993,*
120007,TFCG - FFCG,0.12976557955304518,*
120008,DBPedia - TFCG,-0.00043183668195874404,!
120008,DBPedia - FFCG,-0.013623255444419278,*
120008,TFCG - FFCG,0.12976846740243295,*
120009,DBPedia - TFCG,-0.00043542344672910986,!
120009,DBPedia - FFCG,-0.013616338359260597,*
120009,TFCG - FFCG,0.1297658239240604,*
120010,DBPedia - TFCG,-0.0004491862426020687,!
120010,DBPedia - FFCG,-0.013622876696000182,*
120010,TFCG - FFCG,0.1297713581070328,*
120011,DBPedia - TFCG,-0.0004481907558889932,!
120011,DBPedia - FFCG,-0.013636524239452495,*
120011,TFCG - FFCG,0.12976867223730054,*
120012,DBPedia - TFCG,-0.000461952832436475,!
120012,DBPedia - FFCG,-0.013651759081205356,*
120012,TFCG - FFCG,0.1297821469024641,*
120013,DBPedia - TFCG,-0.0004655387999303643,!
120013,DBPedia - FFCG,-0.013658296442839578,*
120013,TFCG - FFCG,0.12978389769075827,*
120014,DBPedia - TFCG,-0.00047508386339531044,!
120014,DBPedia - FFCG,-0.013671942617907556,*
120014,TFCG - FFCG,0.1297921798946067,*
120015,DBPedia - TFCG,-0.00047153221503447014,!
120015,DBPedia - FFCG,-0.013678479393823122,*
120015,TFCG - FFCG,0.12979027293383671,*
120016,DBPedia - TFCG,-0.00046909956958559896,!
120016,DBPedia - FFCG,-0.013692124726150461,*
120016,TFCG - FFCG,0.12978616012091637,*
120017,DBPedia - TFCG,-0.0004702915028808782,!
120017,DBPedia - FFCG,-0.013676425706886784,*
120017,TFCG - FFCG,0.1297826483085393,*
120018,DBPedia - TFCG,-0.00046169600823983724,!
120018,DBPedia - FFCG,-0.013667863449208027,*
120018,TFCG - FFCG,0.1297870373564261,*
120019,DBPedia - TFCG,-0.00046288802998127886,!
120019,DBPedia - FFCG,-0.013678204946923494,*
120019,TFCG - FFCG,0.1297871608939667,*
120020,DBPedia - TFCG,-0.00046647352971283346,!
120020,DBPedia - FFCG,-0.013684741022582651,*
120020,TFCG - FFCG,0.1297889114421164,*
120021,DBPedia - TFCG,-0.00045927022412114906,!
120021,DBPedia - FFCG,-0.01369127686919393,*
120021,TFCG - FFCG,0.1297846035358737,*
120022,DBPedia - TFCG,-0.0004557193163472005,!
120022,DBPedia - FFCG,-0.013697812486769434,*
120022,TFCG - FFCG,0.12978269712213678,*
120023,DBPedia - TFCG,-0.00045930474845952326,!
120023,DBPedia - FFCG,-0.013691182194440888,*
120023,TFCG - FFCG,0.12978010700485218,*
120024,DBPedia - TFCG,-0.0004461707710261727,!
120024,DBPedia - FFCG,-0.013685688373666419,*
120024,TFCG - FFCG,0.12978386112077964,*
120025,DBPedia - TFCG,-0.0004557142674506505,!
120025,DBPedia - FFCG,-0.01368841006430277,*
120025,TFCG - FFCG,0.12978572443223077,*
120026,DBPedia - TFCG,-0.0004569062450209894,!
120026,DBPedia - FFCG,-0.013688342412191416,*
120026,TFCG - FFCG,0.12978590394966857,*
120027,DBPedia - TFCG,-0.00046049139957654914,!
120027,DBPedia - FFCG,-0.013691063958904242,*
120027,TFCG - FFCG,0.1297869687322498,*
120028,DBPedia - TFCG,-0.00044791593968957264,!
120028,DBPedia - FFCG,-0.013680733411227879,*
120028,TFCG - FFCG,0.12979486141668292,*
