index,type,kendalltau,p-value
400001,DBPedia - TFCG,0.002202611129362987,!
400001,DBPedia - FFCG,-0.010051843189545488,*
400001,TFCG - FFCG,0.12428231401074996,*
400002,DBPedia - TFCG,0.0022062772095238882,!
400002,DBPedia - FFCG,-0.01005433138929986,*
400002,TFCG - FFCG,0.12428046074592607,*
400003,DBPedia - TFCG,0.0022026452122335693,!
400003,DBPedia - FFCG,-0.010056819561697976,*
400003,TFCG - FFCG,0.12428178333568811,*
400004,DBPedia - TFCG,0.002202062613919713,!
400004,DBPedia - FFCG,-0.010055080082119795,*
400004,TFCG - FFCG,0.12428160316325738,*
400005,DBPedia - TFCG,0.0021984306794015055,!
400005,DBPedia - FFCG,-0.010056124330386548,*
400005,TFCG - FFCG,0.12428213422082986,*
400006,DBPedia - TFCG,0.00219784811101609,!
400006,DBPedia - FFCG,-0.010050307755466748,*
400006,TFCG - FFCG,0.1242809741801938,*
400007,DBPedia - TFCG,0.002194216239268192,!
400007,DBPedia - FFCG,-0.010055430137982857,*
400007,TFCG - FFCG,0.12428352297013116,*
400008,DBPedia - TFCG,0.0021978822462652503,!
400008,DBPedia - FFCG,-0.01005791823390335,*
400008,TFCG - FFCG,0.12428166971887068,*
400009,DBPedia - TFCG,0.0021972996907022664,!
400009,DBPedia - FFCG,-0.010053769205686163,*
400009,TFCG - FFCG,0.12428092579457829,*
400010,DBPedia - TFCG,0.0021936678829087525,!
400010,DBPedia - FFCG,-0.010059451023842885,*
400010,TFCG - FFCG,0.12428365612553934,*
400011,DBPedia - TFCG,0.0021973338314766177,!
400011,DBPedia - FFCG,-0.010061939054885291,*
400011,TFCG - FFCG,0.12428180289803883,*
400012,DBPedia - TFCG,0.002200999737535045,!
400012,DBPedia - FFCG,-0.010057304882885164,*
400012,TFCG - FFCG,0.12428387949511119,*
400013,DBPedia - TFCG,0.0022004171776900013,!
400013,DBPedia - FFCG,-0.01005979289749987,*
400013,TFCG - FFCG,0.12428410268071641,*
400014,DBPedia - TFCG,0.002201637802068457,!
400014,DBPedia - FFCG,-0.010063718598653532,*
400014,TFCG - FFCG,0.12428307367846783,*
400015,DBPedia - TFCG,0.0022063119564490886,!
400015,DBPedia - FFCG,-0.010059159313616008,*
400015,TFCG - FFCG,0.12428589124046348,*
400016,DBPedia - TFCG,0.002201197473502824,!
400016,DBPedia - FFCG,-0.010063084973778334,*
400016,TFCG - FFCG,0.1242887050125925,*
400017,DBPedia - TFCG,0.002204863252582872,!
400017,DBPedia - FFCG,-0.010064129106711627,*
400017,TFCG - FFCG,0.12428771837220877,*
400018,DBPedia - TFCG,0.0022042806877235767,!
400018,DBPedia - FFCG,-0.010068054696378597,*
400018,TFCG - FFCG,0.12428786002818704,*
400019,DBPedia - TFCG,0.002204491155434924,!
400019,DBPedia - FFCG,-0.010069098790485035,*
400019,TFCG - FFCG,0.12428791236837133,*
400020,DBPedia - TFCG,0.002208156852762705,!
400020,DBPedia - FFCG,-0.010070142873127203,*
400020,TFCG - FFCG,0.1242869257572068,*
400021,DBPedia - TFCG,0.002207574279441713,!
400021,DBPedia - FFCG,-0.010069158334634171,*
400021,TFCG - FFCG,0.12428689185448089,*
400022,DBPedia - TFCG,0.0022114993485179628,!
400022,DBPedia - FFCG,-0.010073083809278077,*
400022,TFCG - FFCG,0.12428395572605873,*
400023,DBPedia - TFCG,0.002211709770194352,!
400023,DBPedia - FFCG,-0.010073068513799757,*
400023,TFCG - FFCG,0.12428407390462322,*
400024,DBPedia - TFCG,0.0022169412423328773,!
400024,DBPedia - FFCG,-0.010076993923047142,*
400024,TFCG - FFCG,0.12428014801781642,*
400025,DBPedia - TFCG,0.002221443519987846,!
400025,DBPedia - FFCG,-0.010073022077257496,*
400025,TFCG - FFCG,0.1242825338550921,*
400026,DBPedia - TFCG,0.0022178119129894172,!
400026,DBPedia - FFCG,-0.010067206056517064,*
400026,TFCG - FFCG,0.1242785896549213,*
400027,DBPedia - TFCG,0.002222920478236439,!
400027,DBPedia - FFCG,-0.010062647057438458,*
400027,TFCG - FFCG,0.1242817117058122,*
400028,DBPedia - TFCG,0.0022265859008253203,!
400028,DBPedia - FFCG,-0.01006513483250226,*
400028,TFCG - FFCG,0.1242798586226639,*
400029,DBPedia - TFCG,0.002222954327798496,!
400029,DBPedia - FFCG,-0.010069060173436133,*
400029,TFCG - FFCG,0.12428190160825661,*
400030,DBPedia - TFCG,0.0022269620578364577,!
