index,type,kendalltau,p-value
300001,DBPedia - TFCG,0.012945564162931534,*
300001,DBPedia - FFCG,0.0024805175464070843,!
300001,TFCG - FFCG,0.12400533952086175,*
300002,DBPedia - TFCG,0.012947557933048054,*
300002,DBPedia - FFCG,0.00247936319677241,!
300002,TFCG - FFCG,0.12400471342017591,*
300003,DBPedia - TFCG,0.012943559313793075,*
300003,DBPedia - FFCG,0.002476631228354997,!
300003,TFCG - FFCG,0.12400651269190606,*
300004,DBPedia - TFCG,0.012939560748078166,*
300004,DBPedia - FFCG,0.0024804701864389604,!
300004,TFCG - FFCG,0.12400317350229939,*
300005,DBPedia - TFCG,0.012938819713874675,*
300005,DBPedia - FFCG,0.0024761863902277833,!
300005,TFCG - FFCG,0.12400339267736353,*
300006,DBPedia - TFCG,0.012937141717785558,*
300006,DBPedia - FFCG,0.002476741089068801,!
300006,TFCG - FFCG,0.1240032933458585,*
300007,DBPedia - TFCG,0.012936400710503934,*
300007,DBPedia - FFCG,0.0024819751449287014,!
300007,TFCG - FFCG,0.1240021078422665,*
300008,DBPedia - TFCG,0.012932402302425764,*
300008,DBPedia - FFCG,0.002476387830798426,!
300008,TFCG - FFCG,0.12400551028042212,*
300009,DBPedia - TFCG,0.01293072438564914,*
300009,DBPedia - FFCG,0.002481621815039968,!
300009,TFCG - FFCG,0.1240033903719646,*
300010,DBPedia - TFCG,0.012926726070224517,*
300010,DBPedia - FFCG,0.002485670495434805,!
300010,TFCG - FFCG,0.12399993621847949,*
300011,DBPedia - TFCG,0.012922727808333685,*
300011,DBPedia - FFCG,0.002481386845742749,!
300011,TFCG - FFCG,0.12400267603180594,*
300012,DBPedia - TFCG,0.01292198692543277,*
300012,DBPedia - FFCG,0.002475799693075312,!
300012,TFCG - FFCG,0.12400270646133646,*
300013,DBPedia - TFCG,0.01291798874955988,*
300013,DBPedia - FFCG,0.0024801994823768635,!
300013,TFCG - FFCG,0.12399896132765834,*
300014,DBPedia - TFCG,0.012913990627217901,*
300014,DBPedia - FFCG,0.002474612417147748,!
300014,TFCG - FFCG,0.1240023636682895,*
300015,DBPedia - TFCG,0.012913249819544904,*
300015,DBPedia - FFCG,0.0024776385607488526,!
300015,TFCG - FFCG,0.1240017849830584,*
300016,DBPedia - TFCG,0.012916078710547639,*
300016,DBPedia - FFCG,0.002481687098295466,!
300016,TFCG - FFCG,0.12400341361747778,*
300017,DBPedia - TFCG,0.012912080683869223,*
300017,DBPedia - FFCG,0.002483801176983125,!
300017,TFCG - FFCG,0.12400148903547834,*
300018,DBPedia - TFCG,0.012908082710718428,*
300018,DBPedia - FFCG,0.002478214246007941,!
300018,TFCG - FFCG,0.12400489131003252,*
300019,DBPedia - TFCG,0.012904084791094176,*
300019,DBPedia - FFCG,0.0024726273926427658,!
300019,TFCG - FFCG,0.12400829354193527,*
300020,DBPedia - TFCG,0.012900086924995377,*
300020,DBPedia - FFCG,0.002467040616885979,!
300020,TFCG - FFCG,0.12401169573118735,*
300021,DBPedia - TFCG,0.012899346243098651,*
300021,DBPedia - FFCG,0.002461453918735961,!
300021,TFCG - FFCG,0.12401172606050115,*
300022,DBPedia - TFCG,0.012896792031018477,*
300022,DBPedia - FFCG,0.002457170764695869,!
300022,TFCG - FFCG,0.12401336734095883,*
300023,DBPedia - TFCG,0.012891189497558155,*
300023,DBPedia - FFCG,0.0024560167431079295,!
300023,TFCG - FFCG,0.12401407089323686,*
300024,DBPedia - TFCG,0.012887191827079848,*
300024,DBPedia - FFCG,0.0024599969953174906,!
300024,TFCG - FFCG,0.12401063504814126,*
300025,DBPedia - TFCG,0.012886451254321888,*
300025,DBPedia - FFCG,0.002459985559516547,!
300025,TFCG - FFCG,0.12401072876184022,*
300026,DBPedia - TFCG,0.01288571069181805,*
300026,DBPedia - FFCG,0.0024623184184036236,!
300026,TFCG - FFCG,0.12401015207028986,*
300027,DBPedia - TFCG,0.012884970139568123,*
300027,DBPedia - FFCG,0.0024663667535319927,!
300027,TFCG - FFCG,0.12400924627398145,*
300028,DBPedia - TFCG,0.012882416132299717,*
300028,DBPedia - FFCG,0.0024636353537577627,!
300028,TFCG - FFCG,0.12401043478247382,*
300029,DBPedia - TFCG,0.01288167561298578,*
300029,DBPedia - FFCG,0.002463623892582779,!
300029,TFCG - FFCG,0.12401052851283,*
300030,DBPedia - TFCG,0.012880935103924962,*
300030,DBPedia - FFCG,0.0024676721330293312,!
300030,TFCG - FFCG,0.12400962275115075,*
300031,DBPedia - TFCG,0.012880194605117046,*
300031,DBPedia - FFCG,0.0024714048072465664,!
300031,TFCG - FFCG,0.12400874284961917,*
300032,DBPedia - TFCG,0.012878517315369464,*
300032,DBPedia - FFCG,0.002472405837873191,!
300032,TFCG - FFCG,0.12400847973898778,*
300033,DBPedia - TFCG,0.012877776843464018,*
300033,DBPedia - FFCG,0.0024723943152047834,!
300033,TFCG - FFCG,0.12400857345016052,*
300034,DBPedia - TFCG,0.012881570907349973,*
300034,DBPedia - FFCG,0.002468111449006596,!
300034,TFCG - FFCG,0.12400496574171567,*
300035,DBPedia - TFCG,0.012883731565401511,*
300035,DBPedia - FFCG,0.0024638286411181255,!
300035,TFCG - FFCG,0.12400278992029688,*
300036,DBPedia - TFCG,0.012882991072876304,*
300036,DBPedia - FFCG,0.0024671210932866675,!
300036,TFCG - FFCG,0.12400211588240535,*
300037,DBPedia - TFCG,0.012884156926236527,*
