index,type,kendalltau,p-value
440001,DBPedia - TFCG,0.002008285777146076,!
440001,DBPedia - FFCG,-0.017033336269483546,*
440001,TFCG - FFCG,0.1233872602025971,*
440002,DBPedia - TFCG,0.002010902002838679,!
440002,DBPedia - FFCG,-0.017030104319679887,*
440002,TFCG - FFCG,0.12338839871897096,*
440003,DBPedia - TFCG,0.0020063262729688247,!
440003,DBPedia - FFCG,-0.017030013705905293,*
440003,TFCG - FFCG,0.12338801779218223,*
440004,DBPedia - TFCG,0.0020017505883477313,!
440004,DBPedia - FFCG,-0.017030876856916087,*
440004,TFCG - FFCG,0.12338844695850083,*
440005,DBPedia - TFCG,0.0019971749489747217,!
440005,DBPedia - FFCG,-0.01703173999949606,*
440005,TFCG - FFCG,0.12338887612113326,*
440006,DBPedia - TFCG,0.0019978569197951356,!
440006,DBPedia - FFCG,-0.017033906892808637,*
440006,TFCG - FFCG,0.12338859209434376,*
440007,DBPedia - TFCG,0.0019973347247725913,!
440007,DBPedia - FFCG,-0.017037375466294673,*
440007,TFCG - FFCG,0.12338872837669318,*
440008,DBPedia - TFCG,0.0020016947703901298,!
440008,DBPedia - FFCG,-0.017039542310753553,*
440008,TFCG - FFCG,0.12338651511359133,*
440009,DBPedia - TFCG,0.0020043109379796037,!
440009,DBPedia - FFCG,-0.017035747137026904,*
440009,TFCG - FFCG,0.12338790436323814,*
440010,DBPedia - TFCG,0.0020067848784734357,!
440010,DBPedia - FFCG,-0.017032675996411503,*
440010,TFCG - FFCG,0.1233889749686789,*
440011,DBPedia - TFCG,0.0020035301090627856,!
440011,DBPedia - FFCG,-0.017031403462408445,*
440011,TFCG - FFCG,0.12338807678812014,*
440012,DBPedia - TFCG,0.0020061462274569906,!
440012,DBPedia - FFCG,-0.017032266571631996,*
440012,TFCG - FFCG,0.12338741867524398,*
440013,DBPedia - TFCG,0.002001570751514202,!
440013,DBPedia - FFCG,-0.017034433385973324,*
440013,TFCG - FFCG,0.12338893021982024,*
440014,DBPedia - TFCG,0.0020041868535705925,!
440014,DBPedia - FFCG,-0.01703385371416279,*
440014,TFCG - FFCG,0.12338899238825567,*
440015,DBPedia - TFCG,0.0020068029285961386,!
440015,DBPedia - FFCG,-0.017033274048274243,*
440015,TFCG - FFCG,0.12338905455610284,*
440016,DBPedia - TFCG,0.0020022275192839497,!
440016,DBPedia - FFCG,-0.01703413713084213,*
440016,TFCG - FFCG,0.12338948370452364,*
440017,DBPedia - TFCG,0.0020048435779722153,!
440017,DBPedia - FFCG,-0.017035000204980295,*
440017,TFCG - FFCG,0.12338882560779588,*
440018,DBPedia - TFCG,0.0020035116261919754,!
440018,DBPedia - FFCG,-0.01703716695169285,*
440018,TFCG - FFCG,0.12338933620781319,*
440019,DBPedia - TFCG,0.0020061276515455687,!
440019,DBPedia - FFCG,-0.017038030002501297,*
440019,TFCG - FFCG,0.12338867812729577,*
440020,DBPedia - TFCG,0.002008743649869745,!
440020,DBPedia - FFCG,-0.01703889304488045,*
440020,TFCG - FFCG,0.12338802005273301,*
440021,DBPedia - TFCG,0.002006679612376426,!
440021,DBPedia - FFCG,-0.017041059740596574,*
440021,TFCG - FFCG,0.12338880296907916,*
440022,DBPedia - TFCG,0.0020092955812305883,!
440022,DBPedia - FFCG,-0.01704192275964703,*
440022,TFCG - FFCG,0.12338814490947472,*
440023,DBPedia - TFCG,0.0020119115230563065,!
440023,DBPedia - FFCG,-0.01703924539179099,*
440023,TFCG - FFCG,0.12338907564639662,*
440024,DBPedia - TFCG,0.002012593356477924,!
440024,DBPedia - FFCG,-0.017037470388125205,*
440024,TFCG - FFCG,0.12338925412067951,*
440025,DBPedia - TFCG,0.002015209254476869,!
440025,DBPedia - FFCG,-0.01703737974513896,*
440025,TFCG - FFCG,0.12338907163920522,*
440026,DBPedia - TFCG,0.0020162928052427,!
440026,DBPedia - FFCG,-0.01703680009207352,*
440026,TFCG - FFCG,0.12338924582948477,*
440027,DBPedia - TFCG,0.0020189086572018206,!
440027,DBPedia - FFCG,-0.017034851515762492,*
440027,TFCG - FFCG,0.12338984405315212,*
440028,DBPedia - TFCG,0.0020234441490690155,!
440028,DBPedia - FFCG,-0.01703014776425166,*
440028,TFCG - FFCG,0.12339313227753529,*
440029,DBPedia - TFCG,0.002024125906437059,!
440029,DBPedia - FFCG,-0.017033615971607505,*
440029,TFCG - FFCG,0.12339250746794048,*
440030,DBPedia - TFCG,0.0020195507389161394,!
440030,DBPedia - FFCG,-0.017034478991372195,*
440030,TFCG - FFCG,0.12339293659218094,*
