index,type,kendalltau,p-value
280001,DBPedia - TFCG,0.015122049701391754,*
280001,DBPedia - FFCG,0.006940945553164102,*
280001,TFCG - FFCG,0.12133707770838512,*
280002,DBPedia - TFCG,0.015115534331515816,*
280002,DBPedia - FFCG,0.0069359423869358875,*
280002,TFCG - FFCG,0.12134113165982639,*
280003,DBPedia - TFCG,0.015117372109964484,*
280003,DBPedia - FFCG,0.006942298233639171,*
280003,TFCG - FFCG,0.12134222683989805,*
280004,DBPedia - TFCG,0.015110856878516364,*
280004,DBPedia - FFCG,0.006939095433808927,*
280004,TFCG - FFCG,0.1213446994389833,*
280005,DBPedia - TFCG,0.015114466813387612,*
280005,DBPedia - FFCG,0.006935892683055822,*
280005,TFCG - FFCG,0.12134261668782541,*
280006,DBPedia - TFCG,0.015109814006526737,*
280006,DBPedia - FFCG,0.006943040479410066,*
280006,TFCG - FFCG,0.12133702190445173,*
280007,DBPedia - TFCG,0.015116023860081913,*
280007,DBPedia - FFCG,0.006935860927822406,*
280007,TFCG - FFCG,0.121329522572919,*
280008,DBPedia - TFCG,0.015111371114159894,*
280008,DBPedia - FFCG,0.006932658278149445,*
280008,TFCG - FFCG,0.12133147008108665,*
280009,DBPedia - TFCG,0.015104856182642535,*
280009,DBPedia - FFCG,0.006929455677549919,*
280009,TFCG - FFCG,0.12133394265634286,*
280010,DBPedia - TFCG,0.015110732165249361,*
280010,DBPedia - FFCG,0.006934759252855045,*
280010,TFCG - FFCG,0.12133788748903618,*
280011,DBPedia - TFCG,0.015106079567690014,*
280011,DBPedia - FFCG,0.006931556686620201,*
280011,TFCG - FFCG,0.12133983492385976,*
280012,DBPedia - TFCG,0.01509956482906417,*
280012,DBPedia - FFCG,0.006931508644272634,*
280012,TFCG - FFCG,0.12133937640568053,*
280013,DBPedia - TFCG,0.015093050191234268,*
280013,DBPedia - FFCG,0.006928306152736016,*
280013,TFCG - FFCG,0.12134184887917226,*
280014,DBPedia - TFCG,0.015097815185320934,*
280014,DBPedia - FFCG,0.006925103710268641,*
280014,TFCG - FFCG,0.12133899640372423,*
280015,DBPedia - TFCG,0.015101957797808154,*
280015,DBPedia - FFCG,0.006931047094160201,*
280015,TFCG - FFCG,0.12134182978692686,*
280016,DBPedia - TFCG,0.015099997221798665,*
280016,DBPedia - FFCG,0.00693595612561445,*
280016,TFCG - FFCG,0.12133995113194772,*
280017,DBPedia - TFCG,0.015093482787334704,*
280017,DBPedia - FFCG,0.0069327537009335385,*
280017,TFCG - FFCG,0.12134242357645433,*
280018,DBPedia - TFCG,0.01509050512487446,*
280018,DBPedia - FFCG,0.006929551325319456,*
280018,TFCG - FFCG,0.12134371524127026,*
280019,DBPedia - TFCG,0.01508585297022097,*
280019,DBPedia - FFCG,0.0069301598403559705,*
280019,TFCG - FFCG,0.12134313793626496,*
280020,DBPedia - TFCG,0.015090947307275901,*
280020,DBPedia - FFCG,0.006926957534606666,*
280020,TFCG - FFCG,0.12134013591963122,*
280021,DBPedia - TFCG,0.015090073947469062,*
280021,DBPedia - FFCG,0.006931500495162982,*
280021,TFCG - FFCG,0.12133912494293089,*
280022,DBPedia - TFCG,0.015092566609739878,*
280022,DBPedia - FFCG,0.006931452456225924,*
280022,TFCG - FFCG,0.12133892419500997,*
280023,DBPedia - TFCG,0.015095534568589163,*
280023,DBPedia - FFCG,0.006932578715443296,*
280023,TFCG - FFCG,0.121339210604397,*
280024,DBPedia - TFCG,0.015090882559276366,*
280024,DBPedia - FFCG,0.006929376492385733,*
280024,TFCG - FFCG,0.12134115793043247,*
280025,DBPedia - TFCG,0.015086230620193425,*
280025,DBPedia - FFCG,0.006934367987181959,*
280025,TFCG - FFCG,0.12133724733072586,*
280026,DBPedia - TFCG,0.015081578751338729,*
280026,DBPedia - FFCG,0.006931165800852759,*
280026,TFCG - FFCG,0.12133919464155762,*
280027,DBPedia - TFCG,0.015075064964248226,*
280027,DBPedia - FFCG,0.006926163689754454,*
280027,TFCG - FFCG,0.1213432482576427,*
280028,DBPedia - TFCG,0.015074191774465702,*
280028,DBPedia - FFCG,0.006922961615274127,*
280028,TFCG - FFCG,0.12134360921347558,*
280029,DBPedia - TFCG,0.01506767814546126,*
