index,type,kendalltau,p-value
160001,DBPedia - TFCG,0.010503087562249847,*
160001,DBPedia - FFCG,-0.008792613216032454,*
160001,TFCG - FFCG,0.12816975227742072,*
160002,DBPedia - TFCG,0.01050638004499649,*
160002,DBPedia - FFCG,-0.008784490909330844,*
160002,TFCG - FFCG,0.12817261381287037,*
160003,DBPedia - TFCG,0.010500888234128812,*
160003,DBPedia - FFCG,-0.008777140401429923,*
160003,TFCG - FFCG,0.12816444703935886,*
160004,DBPedia - TFCG,0.010495396544803035,*
160004,DBPedia - FFCG,-0.008775872194705431,*
160004,TFCG - FFCG,0.1281627548908827,*
160005,DBPedia - TFCG,0.010487528672247922,*
160005,DBPedia - FFCG,-0.008774604018119093,*
160005,TFCG - FFCG,0.12815989418449622,*
160006,DBPedia - TFCG,0.010479660979424883,*
160006,DBPedia - FFCG,-0.008773335871669832,*
160006,TFCG - FFCG,0.12815703354900929,*
160007,DBPedia - TFCG,0.010487746175957918,*
160007,DBPedia - FFCG,-0.008766752628594417,*
160007,TFCG - FFCG,0.12816485079274878,*
160008,DBPedia - TFCG,0.010482254883470321,*
160008,DBPedia - FFCG,-0.008765484605414313,*
160008,TFCG - FFCG,0.12816315878625034,*
160009,DBPedia - TFCG,0.010476763712507591,*
160009,DBPedia - FFCG,-0.00876421661236665,*
160009,TFCG - FFCG,0.12816146682054882,*
160010,DBPedia - TFCG,0.010471272663065695,*
160010,DBPedia - FFCG,-0.008761458280099636,*
160010,TFCG - FFCG,0.12815809370349593,*
160011,DBPedia - TFCG,0.010462472455444193,*
160011,DBPedia - FFCG,-0.008763026334910256,*
160011,TFCG - FFCG,0.12815924031429665,*
160012,DBPedia - TFCG,0.010454605588097368,*
160012,DBPedia - FFCG,-0.00876175841492857,*
160012,TFCG - FFCG,0.12815638010685407,*
160013,DBPedia - TFCG,0.010449114972847947,*
160013,DBPedia - FFCG,-0.008755677416065547,*
160013,TFCG - FFCG,0.1281496327177002,*
160014,DBPedia - TFCG,0.010450983777149586,*
160014,DBPedia - FFCG,-0.008754409613433337,*
160014,TFCG - FFCG,0.12815026167463403,*
160015,DBPedia - TFCG,0.010454276389586627,*
160015,DBPedia - FFCG,-0.008747827221092557,*
160015,TFCG - FFCG,0.12815290534603893,*
160016,DBPedia - TFCG,0.01044640997957045,*
160016,DBPedia - FFCG,-0.008746559541697951,*
160016,TFCG - FFCG,0.12815004550199743,*
160017,DBPedia - TFCG,0.010440919708457268,*
160017,DBPedia - FFCG,-0.008745291892425145,*
160017,TFCG - FFCG,0.1281483539815968,*
160018,DBPedia - TFCG,0.010433053627423451,*
