index,type,kendalltau,p-value
60001,DBPedia - TFCG,-0.016993834061094566,*
60001,DBPedia - FFCG,-0.03657640339925255,*
60001,TFCG - FFCG,0.1301827159729513,*
60002,DBPedia - TFCG,-0.01699492311535193,*
60002,DBPedia - FFCG,-0.03656831695133236,*
60002,TFCG - FFCG,0.13017975340938792,*
60003,DBPedia - TFCG,-0.017003798699118024,*
60003,DBPedia - FFCG,-0.036561060802160567,*
60003,TFCG - FFCG,0.1301668576388462,*
60004,DBPedia - TFCG,-0.017000339407375123,*
60004,DBPedia - FFCG,-0.03655123670605584,*
60004,TFCG - FFCG,0.1301704741845522,*
60005,DBPedia - TFCG,-0.01699064791315658,*
60005,DBPedia - FFCG,-0.03654315162803222,*
60005,TFCG - FFCG,0.1301801618984584,*
60006,DBPedia - TFCG,-0.016999522877200943,*
60006,DBPedia - FFCG,-0.03653589677548109,*
60006,TFCG - FFCG,0.13016726847748825,*
60007,DBPedia - TFCG,-0.016998402450413317,*
60007,DBPedia - FFCG,-0.03652781257335263,*
60007,TFCG - FFCG,0.13016712785325968,*
60008,DBPedia - TFCG,-0.0169868646672808,*
60008,DBPedia - FFCG,-0.03651972882671865,*
60008,TFCG - FFCG,0.13017925181117548,*
60009,DBPedia - TFCG,-0.01698340630093622,*
60009,DBPedia - FFCG,-0.03651551509255347,*
60009,TFCG - FFCG,0.1301817337349117,*
60010,DBPedia - TFCG,-0.016984495366387017,*
60010,DBPedia - FFCG,-0.03650743213577803,*
60010,TFCG - FFCG,0.13017877278169512,*
60011,DBPedia - TFCG,-0.016985584374613324,*
60011,DBPedia - FFCG,-0.03649934963438971,*
60011,TFCG - FFCG,0.13017581202950895,*
60012,DBPedia - TFCG,-0.016986673325619754,*
60012,DBPedia - FFCG,-0.03649126758834872,*
60012,TFCG - FFCG,0.1301728514783327,*
60013,DBPedia - TFCG,-0.016987762219410937,*
60013,DBPedia - FFCG,-0.03648318599761527,*
60013,TFCG - FFCG,0.13016989112814595,*
60014,DBPedia - TFCG,-0.016988851055991492,*
60014,DBPedia - FFCG,-0.03647510486214958,*
60014,TFCG - FFCG,0.13016693097892812,*
60015,DBPedia - TFCG,-0.01697811217075304,*
60015,DBPedia - FFCG,-0.03646702418191187,*
60015,TFCG - FFCG,0.13017806126302794,*
60016,DBPedia - TFCG,-0.016974654673876294,*
60016,DBPedia - FFCG,-0.036462812690180806,*
60016,TFCG - FFCG,0.13018053979235383,*
60017,DBPedia - TFCG,-0.016963744397089833,*
60017,DBPedia - FFCG,-0.03645386671907819,*
60017,TFCG - FFCG,0.13019203556473424,*
60018,DBPedia - TFCG,-0.016953007110489266,*
60018,DBPedia - FFCG,-0.03644578729623007,*
